category,job,attempt,started,finished_or_cutoff,worker_wall_seconds,status_at_cutoff,receipt,receipt_sha256
main,main,798ed97461784e4eaf6ffbdb54ddaa61,2026-09-11T17:02:13.526317+00:00,2026-09-11T19:57:37.399198+00:00,10523.872881,failed,outputs/q2/dispatch_runs/20260911_224501/raw/full_run_receipts/main_798ed97461784e4eaf6ffbdb54ddaa61.json,3dcbbe0b7cc5d8c2e867276c3e4160ecbf47449899a31dcc1aebcd2fec63b839
main,main,61e64d1b91184eea9c5f8ea1cb25f1b8,2026-09-11T20:27:24.599173+00:00,2026-09-11T22:23:18.202576+00:00,6953.603403,failed,outputs/q2/dispatch_runs/20260911_224501/raw/full_run_receipts/main_61e64d1b91184eea9c5f8ea1cb25f1b8.json,fbb9f9d75b998b6e508955fc4056973415a48e5f7cca9be4887bcaae04081726
main,main,ebc5af70aacd4612aecb29b46e17e91d,2026-09-11T22:43:21.151090+00:00,2026-09-12T01:50:50+00:00,11248.84891,running,,
experiments,structure_separate,26d9939e37584b138e9f563850cab192,2026-09-11T17:02:13.526322+00:00,2026-09-11T17:02:14.371177+00:00,0.844855,complete,outputs/q2/dispatch_runs/20260911_224501/raw/full_run_receipts/structure_separate_26d9939e37584b138e9f563850cab192.json,16384aeffa73cd5411d4fbc25f0324af739db00cc2fd5762cd81cbc2973d2c1e
experiments,structure_direct_net,b4acf325761d41c3b484b89775d06399,2026-09-11T17:02:23.626946+00:00,2026-09-11T17:02:24.631535+00:00,1.004589,complete,outputs/q2/dispatch_runs/20260911_224501/raw/full_run_receipts/structure_direct_net_b4acf325761d41c3b484b89775d06399.json,80aa1bb031dd8df60bf1d112f24cebe5096d46141322691cc67dca1e53d34b79
experiments,forecast,24da22843f234408b647158415e52c0e,2026-09-11T17:02:33.651301+00:00,2026-09-11T17:02:34.769189+00:00,1.117888,complete,outputs/q2/dispatch_runs/20260911_224501/raw/full_run_receipts/forecast_24da22843f234408b647158415e52c0e.json,1adddf510c3d047117b463ee94ce3a3b6cd53d8dbd2eb3e64f0e895481d46391
experiments,horizon_1,e7ea42aa80344f81b9b7b79222b768d9,2026-09-11T17:02:43.586179+00:00,2026-09-11T17:23:29.700713+00:00,1246.114534,failed,outputs/q2/dispatch_runs/20260911_224501/raw/full_run_receipts/horizon_1_e7ea42aa80344f81b9b7b79222b768d9.json,8adfe57778878c76647f73a2a9cd20fa81719b987fbdb2606bdadb4e6aa105eb
experiments,horizon_1,a60a0a7e06184a31adea7b47efc6371a,2026-09-11T19:57:45.145748+00:00,2026-09-11T20:27:16.033828+00:00,1770.88808,failed,outputs/q2/dispatch_runs/20260911_224501/raw/full_run_receipts/horizon_1_a60a0a7e06184a31adea7b47efc6371a.json,b325a31a4c31a2293ed5ce88c9de95a44180dfcd39df6e765d7a4ed44cd6f3cd
experiments,horizon_1,9e98c5a6acaf4e0cbad5bc549b65e275,2026-09-11T21:27:58.391770+00:00,2026-09-11T21:57:49.675159+00:00,1791.283389,failed,outputs/q2/dispatch_runs/20260911_224501/raw/full_run_receipts/horizon_1_9e98c5a6acaf4e0cbad5bc549b65e275.json,2ab03067c8cdb575e61450c53100b920d50e49ccd35746fe181f50e57646fac0
experiments,horizon_1,9b99f8d874bc46ed9cf1af0583f90a2d,2026-09-11T22:23:24.536242+00:00,2026-09-11T22:43:13.988408+00:00,1189.452166,failed,outputs/q2/dispatch_runs/20260911_224501/raw/full_run_receipts/horizon_1_9b99f8d874bc46ed9cf1af0583f90a2d.json,393885433926109847b80400bac9f595bfcc32daaaf74dd55cbbc0c527e3d619
