date,K,M,S,initial_soc,final_soc,cost,emergency_kwh,computational_limited
2025-02-01,2,16,16,8482.7663850000008,8846.2315124877714,23148.188323034017,15.781468318502846,False
2025-02-02,2,17,17,8846.2315124877714,8603.1508781546127,56416.869296558638,0,False
2025-02-03,2,18,18,8603.1508781546127,8498.5090218130445,55800.575734160055,24.320542722519605,False
2025-02-04,2,19,19,8498.5090218130445,8621.8660891032523,55807.911601696578,81.4987681544265,False
2025-02-05,2,20,20,8621.8660891032523,8406.5029047910048,54644.35973353796,16.097349381677304,False
2025-02-06,2,21,21,8406.5029047910048,8521.3909407976007,55230.105579339492,0,False
2025-02-07,2,22,22,8521.3909407976007,8668.6901008659515,22269.94042943768,0,True
2025-02-08,2,23,23,8668.6901008659515,8557.9555271541649,20007.475658718871,14.815094335906792,False
2025-02-09,2,24,24,8557.9555271541649,8310.9191938564218,53454.275325374037,104.97379107645973,False
2025-02-10,2,25,25,8310.9191938564218,8208.3563538480212,53709.704445949967,13.073916993815487,False
2025-02-11,2,26,26,8208.3563538480212,8229.5717177909955,53194.310502860921,23.214728114827594,False
2025-02-12,2,27,27,8229.5717177909955,8142.3456762143087,52264.459052351653,0,False
2025-02-13,2,27,27,8142.3456762143087,7389.0097320006098,51404.47610321601,17.124107225192688,False
2025-02-14,2,27,27,7389.0097320006098,7108.7793228879782,18683.32226237447,15.362328345121284,False
2025-02-15,2,27,27,7108.7793228879782,8073.8939040892501,19515.331575397282,91.260781148952532,False
2025-02-16,2,27,27,8073.8939040892501,7947.2595827123114,50550.846747527496,252.21779242101746,False
2025-02-17,2,27,27,7947.2595827123114,8229.9745834467412,49634.163416022951,4.6431445170491177,False
2025-02-18,2,27,27,8229.9745834467412,8382.2572985293591,48999.046118380138,19.544699674095682,False
2025-02-19,2,27,27,8382.2572985293591,7813.2590170888116,48881.354577973296,61.269646085383407,False
2025-02-20,2,27,27,7813.2590170888116,6697.0881874409724,48007.520379549904,28.191357044662247,False
2025-02-21,2,27,27,6697.0881874409724,6527.1803796167142,17866.398702551371,10.895077969042063,False
2025-02-22,2,27,27,6527.1803796167142,7936.6805130735984,18727.069977881067,45.0688125032801,False
2025-02-23,2,27,27,7936.6805130735984,8119.607545982054,48010.812007707871,108.68858952416237,False
2025-02-24,2,27,27,8119.607545982054,8004.0638518481555,47273.071497937206,60.730635269047866,False
2025-02-25,2,27,27,8004.0638518481555,8002.1033277379793,47091.302612773667,82.949744779159914,False
2025-02-26,2,27,27,8002.1033277379793,7921.7128078075393,46050.253889212996,39.933187324515124,False
2025-02-27,2,27,27,7921.7128078075393,6012.3301703305769,44784.013332285518,112.17729018500228,False
2025-02-28,2,27,27,6012.3301703305769,6065.9512859176421,17351.121082167643,28.449213193553817,False
2025-03-01,2,27,27,6065.9512859176421,7862.5448088703533,18395.575639308896,65.470186704696232,False
2025-03-02,2,27,27,7862.5448088703533,7773.9958922370897,71027.581812522374,4503.2689920495441,False
2025-03-03,2,27,27,7773.9958922370897,7682.0479862069333,63889.638862126827,3158.3929615772772,False
2025-03-04,2,27,27,7682.0479862069333,7974.4496095156137,46173.533923281706,47.596583507211562,True
2025-03-05,2,27,27,7974.4496095156137,7905.9074264423616,46083.806411498685,26.201064718946476,True
2025-03-06,2,27,27,7905.9074264423616,5716.3803877684741,44876.15147719525,6.4215444342982764,False
2025-03-07,2,27,27,5716.3803877684741,4993.4952832886665,16459.840076567223,0,False
2025-03-08,2,27,27,4993.4952832886665,8153.1333717127263,17937.727191591042,58.466199159249662,False
2025-03-09,2,27,27,8153.1333717127263,7846.6032942463271,43868.4654128275,12.827931450543929,True
2025-03-10,2,27,27,7846.6032942463271,7659.9921198829506,48802.359719173699,879.2189344532992,True
2025-03-11,2,27,27,7659.9921198829506,7900.4865762231975,43785.424133163062,127.63109436709495,True
2025-03-12,2,27,27,7900.4865762231975,7653.2591446691276,43241.998355510317,17.523425086950851,True
2025-03-13,2,27,27,7653.2591446691276,4158.2201905330412,48863.177629821366,1272.8037518387582,False
2025-03-14,2,27,27,4158.2201905330412,4457.5632975349017,15813.616067927185,5.7159427478321732,False
2025-03-15,2,27,27,4457.5632975349017,7880.8548354584118,17721.390069106492,62.927294430784855,True
2025-03-16,2,27,27,7880.8548354584118,8081.6486035373864,43265.091087510569,225.2815375069793,True
2025-03-17,2,27,27,8081.6486035373864,8213.7220599785142,42615.034199295718,23.044404248859678,True
2025-03-18,2,27,27,8213.7220599785142,8104.4027747554583,42230.333955207563,130.82132849671481,True
2025-03-19,2,27,27,8104.4027747554583,8395.3355466118683,41762.34669295761,25.035081174264633,True
2025-03-20,2,27,27,8395.3355466118683,4122.99560774988,40098.886908939436,136.2714739971903,False
2025-03-21,2,27,27,4122.99560774988,4166.028729615371,15220.611120604242,27.397462288097188,False
2025-03-22,2,27,27,4166.028729615371,8478.7184096993424,17254.111527654404,0.39350346553959525,False
2025-03-23,2,27,27,8478.7184096993424,7960.1278423316289,40318.76007048969,98.497588185305148,True
2025-03-24,2,27,27,7960.1278423316289,7949.0168007779312,40081.452313084497,61.899562326044048,True
2025-03-25,2,27,27,7949.0168007779312,7987.1605028817012,40351.341785294782,92.318292108448077,True
2025-03-26,2,27,27,7987.1605028817012,8166.265209543164,39892.020847872736,0,True
2025-03-27,2,27,27,8166.265209543164,3711.0265478388378,37769.37100201557,63.46497534998106,False
2025-03-28,2,27,27,3711.0265478388378,4148.4864735045921,14976.194680612074,21.856601135184931,False
2025-03-29,2,27,27,4148.4864735045921,8317.1472619345514,16843.207769399705,0,False
2025-03-30,2,27,27,8317.1472619345514,8328.548180056594,38789.637065619921,116.70044383231362,True
2025-03-31,2,27,27,8328.548180056594,8131.21000024775,38702.433701138572,249.29809361718179,True
2025-04-01,2,27,27,8131.21000024775,8137.9993119206301,46672.172410988547,1380.9414133477167,True
2025-04-02,2,27,27,8137.9993119206301,8114.3436346865965,48726.310001677222,2070.290321105309,True
2025-04-03,2,27,27,8114.3436346865965,3478.7235147321644,35793.30781043,64.567868833408397,False
2025-04-04,2,27,27,3478.7235147321644,3968.4437878388317,14410.936752224688,7.5280067220742808,False
