step,grid,charge_cap,discharge_cap,soc_reserve_kwh,role
0,470.23229469810894,833.33333333333326,0,2785.6619931817631,first_day_frozen
1,799.66435823182383,833.33333333333326,0,2805.4516052765166,first_day_frozen
2,413.84153508856571,833.33333333333326,833.33333333333326,2814.615801951712,first_day_frozen
3,533.11522839839665,833.33333333333326,833.33333333333326,2815.7297794556516,first_day_frozen
4,1252.4343102076211,833.33333333333326,833.33333333333326,2865.9882401961604,first_day_frozen
5,558.96674265417778,833.33333333333326,833.33333333333326,2851.4219485563731,first_day_frozen
6,511.97744978620494,833.33333333333326,833.33333333333326,2857.9924353340125,first_day_frozen
7,500.48121112912088,833.33333333333326,833.33333333333326,2828.4165136408442,first_day_frozen
8,1242.5264411657618,833.33333333333326,833.33333333333326,2817.8499881240568,first_day_frozen
9,504.52009241990004,833.33333333333326,833.33333333333326,2815.0338386613435,first_day_frozen
10,495.66632031257251,833.33333333333326,833.33333333333326,2826.4280590920871,first_day_frozen
11,549.6707400722579,833.33333333333326,833.33333333333326,2846.3103301347433,first_day_frozen
12,508.26560857856396,833.33333333333326,833.33333333333326,2850.3215666999558,first_day_frozen
13,516.22479648647959,833.33333333333326,833.33333333333326,2854.1273027334446,first_day_frozen
14,568.53683964021161,833.33333333333326,833.33333333333326,2846.7603598111,first_day_frozen
15,456.79605436583716,833.33333333333326,0,2816.7174845678423,first_day_frozen
16,519.1352458076974,833.33333333333326,833.33333333333326,2767.586678591726,first_day_frozen
17,498.64715654679105,833.33333333333326,833.33333333333326,2759.9779507531625,first_day_frozen
18,482.49904541068645,833.33333333333326,833.33333333333326,2780.7903683952286,first_day_frozen
19,473.29304373012656,833.33333333333326,833.33333333333326,2759.0862519025441,first_day_frozen
20,465.12138074127188,833.33333333333326,833.33333333333326,2759.5711094776702,first_day_frozen
21,467.67800402397802,833.33333333333326,833.33333333333326,2775.9627314215627,first_day_frozen
22,452.23798865838069,833.33333333333326,833.33333333333326,2792.0680941061955,first_day_frozen
23,457.07662755801613,833.33333333333326,833.33333333333326,2809.3091215874838,first_day_frozen
24,483.22739020205142,833.33333333333326,833.33333333333326,2812.6958514091998,first_day_frozen
25,473.55034736134354,833.33333333333326,833.33333333333326,2834.8166588611048,first_day_frozen
26,477.91042729666844,833.33333333333326,833.33333333333326,2851.8805504596367,first_day_frozen
27,462.83166894647508,833.33333333333326,833.33333333333326,2824.3610315603937,first_day_frozen
28,458.38515732786527,833.33333333333326,833.33333333333326,2810.8132365468332,first_day_frozen
29,493.73307268784447,833.33333333333326,833.33333333333326,2837.7999887949672,first_day_frozen
30,456.87130165149262,833.33333333333326,833.33333333333326,2840.8796582424666,first_day_frozen
31,490.41471686411575,833.33333333333326,833.33333333333326,2801.4550463017795,first_day_frozen
32,508.66668409593501,833.33333333333326,833.33333333333326,2786.4999484007017,first_day_frozen
33,1263.5054627766547,833.33333333333326,833.33333333333326,2808.4570540946424,first_day_frozen
34,0,833.33333333333326,507.08400300946676,2813.8278755363826,first_day_frozen
35,0,833.33333333333326,513.73002791379599,2837.1368992140788,first_day_frozen
36,0,833.33333333333326,833.33333333333326,2835.8493681090386,first_day_frozen
37,0,833.33333333333326,395.61360376952018,2841.3157689109603,first_day_frozen
38,0,833.33333333333326,833.33333333333326,2845.4175884553956,first_day_frozen
39,0,833.33333333333326,833.33333333333326,2832.6675368463111,first_day_frozen
40,0,833.33333333333326,833.33333333333326,2775.3594962562502,first_day_frozen
41,0,833.33333333333326,276.8650141183125,2756.6945882340065,first_day_frozen
42,0,833.33333333333326,833.33333333333326,2771.3584716341993,first_day_frozen
43,0,833.33333333333326,190.60129990881666,2765.3153885908828,first_day_frozen
44,0,833.33333333333326,130.93329870033654,2725.9243421106207,first_day_frozen
45,0,833.33333333333326,83.08107374647912,2740.7291423720017,first_day_frozen
46,0,833.33333333333326,64.731527513767475,2682.7919166056963,first_day_frozen
47,0,833.33333333333326,0,2749.2187966499664,first_day_frozen
48,0,833.33333333333326,0,2709.0274859724559,first_day_frozen
49,0,833.33333333333326,0,2736.9707845044782,first_day_frozen
50,0,833.33333333333326,0,2660.6763470185365,first_day_frozen
51,0,833.33333333333326,0,2625.0577396663307,first_day_frozen
52,0,833.33333333333326,0,2637.5151097729004,first_day_frozen
53,0,833.33333333333326,0,2685.4073765171966,first_day_frozen
54,0,833.33333333333326,0,2662.9318811965036,first_day_frozen
55,0,833.33333333333326,0,2599.2196772131279,first_day_frozen
56,0,833.33333333333326,0,2549.7158330887505,first_day_frozen
57,0,833.33333333333326,0,2564.8133160597022,first_day_frozen
58,0,833.33333333333326,0,2478.0071255057569,first_day_frozen
59,0,833.33333333333326,0,2374.8699125722719,first_day_frozen
60,0,833.33333333333326,0,2302.9995491867635,first_day_frozen
61,0,833.33333333333326,0,2308.9656563976173,first_day_frozen
62,0,833.33333333333326,0,2224.1446821591144,first_day_frozen
63,0,833.33333333333326,0,2161.2206671294566,first_day_frozen
64,0,833.33333333333326,0,2141.4570796182506,first_day_frozen
65,0,833.33333333333326,0,2226.1192217336084,first_day_frozen
66,0,833.33333333333326,0,2055.1647817496146,first_day_frozen
67,0,833.33333333333326,0,2001.5936269736444,first_day_frozen
68,0,833.33333333333326,0,1824.4855140070351,first_day_frozen
69,0,833.33333333333326,0,1735.0585430261012,first_day_frozen
70,0,833.33333333333326,0,1745.0830082596233,first_day_frozen
71,0,833.33333333333326,0,1733.4383994972045,first_day_frozen
72,0,833.33333333333326,0,1584.6945013620805,first_day_frozen
73,0,833.33333333333326,0,1433.597161213612,first_day_frozen
74,0,833.33333333333326,0,1562.4922572467615,first_day_frozen
75,0,833.33333333333326,0,1504.3189958361186,first_day_frozen
76,0,833.33333333333326,0,1485.1293261007384,first_day_frozen
77,0,833.33333333333326,0,1410.5373874119357,first_day_frozen
78,0,833.33333333333326,0,1311.5057363273631,first_day_frozen
79,0,833.33333333333326,0,1268.7320990497915,first_day_frozen
80,0,833.33333333333326,0,1209.8047026951569,first_day_frozen
81,0,833.33333333333326,0,1147.7712461439212,first_day_frozen
82,0,833.33333333333326,0,1089.9657164920181,first_day_frozen
83,0,833.33333333333326,0,1081.2719174054205,first_day_frozen
84,0,833.33333333333326,0,1047.4678930769908,first_day_frozen
85,0,833.33333333333326,0,994.65181187580072,first_day_frozen
86,0,833.33333333333326,0,948.07924922042253,first_day_frozen
87,0,833.33333333333326,0,852.60456391415357,first_day_frozen
88,0,833.33333333333326,0,773.39618420378633,first_day_frozen
89,0,833.33333333333326,0,763.50665321920405,first_day_frozen
90,0,833.33333333333326,0,735.87923379400615,first_day_frozen
91,0,833.33333333333326,0,683.81468196591993,first_day_frozen
92,0,833.33333333333326,0,618.96587114135912,first_day_frozen
93,0,833.33333333333326,0,595.65610696109638,first_day_frozen
94,0,833.33333333333326,0,556.49493889609118,first_day_frozen
95,0,833.33333333333326,23.381306689202724,519.55113990707468,first_day_frozen
96,0,833.33333333333326,108.4263781616387,484.19717308729719,first_day_frozen
97,67.483678785386843,833.33333333333326,83.850038904072704,447.11463964544191,first_day_frozen
98,184.26566079919363,833.33333333333326,44.556888349210482,404.09243889508463,first_day_frozen
99,199.23912277632172,833.33333333333326,25.212687156146274,368.3512645850102,first_day_frozen
100,198.79822598780225,833.33333333333326,26.222223743194206,335.93486381327642,first_day_frozen
101,214.3484286858652,833.33333333333326,47.401903164372129,328.2040951950425,first_day_frozen
102,269.89779248577725,833.33333333333326,23.652698952493665,310.13112077270802,first_day_frozen
103,306.55161049005847,833.33333333333326,27.552253791801832,296.75629075288185,first_day_frozen
104,387.1656672168325,833.33333333333326,92.519991578936811,269.51244951424997,first_day_frozen
105,491.54246117445973,833.33333333333326,0,261.71568265896309,first_day_frozen
106,447.56903048537345,833.33333333333326,0,242.97218002409639,first_day_frozen
107,508.06299921290906,833.33333333333326,59.120271706178414,243.36767186815828,first_day_frozen
108,0,833.33333333333326,589.22858726162406,239.97571600429015,first_day_frozen
109,508.36503177747011,833.33333333333326,833.33333333333326,232.39174622775914,first_day_frozen
110,67.375296315881371,833.33333333333326,521.58511664585944,230.1119105001614,first_day_frozen
111,336.94785795113262,833.33333333333326,225.90104250919603,225.01370645522374,first_day_frozen
112,0,833.33333333333326,587.22837412900253,225.94030502562623,first_day_frozen
113,0,833.33333333333326,591.15568935540614,218.3945452792037,first_day_frozen
