origin,horizon,M,S,mean_net_kwh,mean_timewise_variance_kwh2,full_Q80_mean_kwh,reduced_Q80_mean_kwh,full_Q90_mean_kwh,reduced_Q90_mean_kwh,positive_Q90_tail_underestimate_kwh,expected_objective_yuan_all_horizons
2025-02-01,0,15,15,265.46858110333369,1700.5669992985738,292.78928908338207,292.78928908338207,312.23286645808759,312.23286645808759,0,138446.97408508733
2025-02-01,1,15,15,576.90394145845187,1630.878993454038,602.75100516885527,602.75100516885527,623.26142141691082,623.26142141691082,0,138446.97408508733
2025-02-01,2,15,15,573.96172177407311,1531.8866043368691,599.68277448389063,599.68277448389063,619.00517668477823,619.00517668477823,0,138446.97408508733
2025-02-02,0,17,17,576.9361906542614,1664.338080641613,606.87474297501899,606.87474297501899,625.11247430324261,625.11247430324261,0,112712.43591508176
2025-02-02,1,17,17,571.61078976358476,1619.5518048915733,600.98894070626682,600.98894070626682,621.30316017044913,621.30316017044913,0,112712.43591508176
2025-02-03,0,18,18,567.17933457250479,1668.2462268442744,598.87786299568529,598.87786299568529,617.12068251840071,617.12068251840071,0,111451.74431778699
2025-02-03,1,18,18,564.90272295050511,1630.1780618963201,596.26253175108309,596.26253175108309,616.46472815217112,616.46472815217112,0,111451.74431778699
2025-02-04,0,19,19,563.4314645970511,1677.7866109961751,597.07374838711735,597.07374838711735,615.0953751652479,615.0953751652479,0,110499.07673866863
2025-02-04,1,19,19,556.7679509748076,1605.0860964732906,588.98827639653689,588.98827639653689,609.14318129942671,609.14318129942671,0,110499.07673866863
2025-02-05,0,20,20,555.29810166896914,1649.6021952910089,583.40591448141333,583.40591448141333,596.52591052621437,596.52591052621437,0,109366.80735859209
2025-02-05,1,20,20,555.35729112581384,1612.2839441021538,583.10778903249263,583.10778903249263,596.85503899489754,596.85503899489754,0,109366.80735859209
2025-02-06,0,21,21,556.02736585422213,1648.5022498483797,585.58772832427678,585.58772832427678,598.77996836223406,598.77996836223406,0,76526.197271232391
2025-02-06,1,21,21,250.97835825911838,1594.8183612591988,279.77812669436429,279.77812669436429,293.29603093865779,293.29603093865779,0,76526.197271232391
2025-02-07,0,21,21,252.72907426424536,1648.5043344418873,282.28947584522211,282.28947584522211,295.4817181649255,295.4817181649255,0,95126.770948715042
