origin,step,mean_scenario_soc_kwh,scenario_soc_Q10_kwh,scenario_soc_Q90_kwh
2025-02-01,0,6722.2966002312751,6700.6067378510197,6750
2025-02-01,1,7458.1307654101938,7423.8733961386988,7500
2025-02-01,2,8188.728316226232,8154.6717283247381,8222.6601205667575
2025-02-01,3,8897.5639470990609,8844.9036395496241,8957.4539798117839
2025-02-01,4,9614.6463703011195,9545.6167331807919,9707.4539798117839
2025-02-01,5,9679.2916143801885,9567.3152681996235,9782.1955136359666
2025-02-01,6,9686.6300647617645,9564.7005097009296,9804.0499328343558
2025-02-01,7,9685.6022361669657,9563.3846856344171,9819.910452971475
2025-02-01,8,9754.4831265733283,9624.3445654262778,9851.4692377917727
2025-02-01,9,9749.718946920475,9630.9304190750172,9856.9159904972057
2025-02-01,10,9741.3892602640735,9621.4097492257806,9871.0920865463486
2025-02-01,11,9781.1502439618125,9634.3044440210433,9926.5471037911866
2025-02-01,12,9793.1567460957831,9625.4586030023274,9944.2148067288272
2025-02-01,13,9812.8490126944689,9629.8723143710395,9976.2681125184226
2025-02-01,14,9817.8251996364943,9616.3543034868017,9976.2681125184226
2025-02-01,15,9805.4260375514532,9621.6450662494644,9976.2681125184226
2025-02-01,16,9787.5482187576727,9606.6540371263691,9966.0527344449401
2025-02-01,17,9789.3497781828082,9558.0759570062273,9976.2681125184226
2025-02-01,18,9790.6047601033424,9543.8022599146843,9994.597360006599
2025-02-01,19,9798.256818479791,9540.8565257724658,9991.4840559907279
2025-02-01,20,9817.6100686256887,9532.287611952961,9996.4871745023938
2025-02-01,21,9837.8152871154416,9536.5085267603044,10046.207303124389
2025-02-01,22,9846.2208052469105,9561.0526015617597,10022.92771075981
2025-02-01,23,9847.9797150972208,9608.9816282501306,9986.1052352129973
2025-02-01,24,9848.6575541882175,9636.7524441747682,9992.2276315535219
2025-02-01,25,9852.713554634096,9629.369537757615,9969.8578280753791
2025-02-01,26,9854.4710836803097,9596.9852853573884,9980.8184671377658
2025-02-01,27,9857.0509844003427,9577.6621716809241,10003.220743750413
2025-02-01,28,9875.4234579546355,9599.0236311339486,10028.881678190959
2025-02-01,29,9882.3698660072878,9616.8537109277277,10021.990226514617
2025-02-01,30,9887.531285996869,9613.7050566954767,10050.475478551532
2025-02-01,31,9879.4325961071154,9603.880432349617,10050.308957003095
2025-02-01,32,9892.7052908648438,9645.5043512762168,10040.018706300561
2025-02-01,33,10624.265772651275,10382.613949909815,10779.729230300576
2025-02-01,34,10358.678708087076,10132.752571494006,10516.441939816117
2025-02-01,35,9753.0345630287866,9545.4790204725177,9915.6512453536834
2025-02-01,36,9138.2721429443518,8921.5307072475098,9308.2841434323891
2025-02-01,37,8528.9609966942389,8301.7925777133096,8714.1846336499766
