month,series,lag,pairs,correlation,scope
1,raw_pv,144,4320,0.99442949840409689,posthoc_month_never_online_features
1,within_month_profile_residual,144,4320,0.33163231736862842,posthoc_month_never_online_features
1,raw_pv,1008,3456,0.99398619463901228,posthoc_month_never_online_features
1,within_month_profile_residual,1008,3456,0.08964673015342392,posthoc_month_never_online_features
2,raw_pv,144,3888,0.9945800888249704,posthoc_month_never_online_features
2,within_month_profile_residual,144,3888,0.57179379662716001,posthoc_month_never_online_features
2,raw_pv,1008,3024,0.99496799587892926,posthoc_month_never_online_features
2,within_month_profile_residual,1008,3024,0.37034334315687567,posthoc_month_never_online_features
3,raw_pv,144,4320,0.99144966326785167,posthoc_month_never_online_features
3,within_month_profile_residual,144,4320,0.44620932718132822,posthoc_month_never_online_features
3,raw_pv,1008,3456,0.99204748181031699,posthoc_month_never_online_features
3,within_month_profile_residual,1008,3456,0.29058429300209387,posthoc_month_never_online_features
4,raw_pv,144,4176,0.99100445853318442,posthoc_month_never_online_features
4,within_month_profile_residual,144,4176,0.13587345461717218,posthoc_month_never_online_features
4,raw_pv,1008,3312,0.99258962563536046,posthoc_month_never_online_features
4,within_month_profile_residual,1008,3312,0.17512973970046933,posthoc_month_never_online_features
5,raw_pv,144,4320,0.99057428673245485,posthoc_month_never_online_features
5,within_month_profile_residual,144,4320,-0.032111537045607104,posthoc_month_never_online_features
5,raw_pv,1008,3456,0.98983117040431401,posthoc_month_never_online_features
5,within_month_profile_residual,1008,3456,-0.12988658997822825,posthoc_month_never_online_features
6,raw_pv,144,4176,0.985372223039928,posthoc_month_never_online_features
6,within_month_profile_residual,144,4176,0.027084449407102331,posthoc_month_never_online_features
6,raw_pv,1008,3312,0.98557618535524849,posthoc_month_never_online_features
6,within_month_profile_residual,1008,3312,0.022557733451955438,posthoc_month_never_online_features
7,raw_pv,144,4320,0.99099389371564406,posthoc_month_never_online_features
7,within_month_profile_residual,144,4320,-0.020418926232196596,posthoc_month_never_online_features
7,raw_pv,1008,3456,0.99078350602821652,posthoc_month_never_online_features
7,within_month_profile_residual,1008,3456,-0.052768622191696438,posthoc_month_never_online_features
8,raw_pv,144,4320,0.99301922657046315,posthoc_month_never_online_features
8,within_month_profile_residual,144,4320,0.11236219927371097,posthoc_month_never_online_features
8,raw_pv,1008,3456,0.99297342713530645,posthoc_month_never_online_features
8,within_month_profile_residual,1008,3456,0.046781985519938882,posthoc_month_never_online_features
9,raw_pv,144,4176,0.99208248285603251,posthoc_month_never_online_features
9,within_month_profile_residual,144,4176,0.20450572766641004,posthoc_month_never_online_features
9,raw_pv,1008,3312,0.99356292121012124,posthoc_month_never_online_features
9,within_month_profile_residual,1008,3312,0.25491369991413376,posthoc_month_never_online_features
10,raw_pv,144,4320,0.99593609247530457,posthoc_month_never_online_features
10,within_month_profile_residual,144,4320,0.64604122738021075,posthoc_month_never_online_features
10,raw_pv,1008,3456,0.99486802759945403,posthoc_month_never_online_features
10,within_month_profile_residual,1008,3456,0.43436570173452843,posthoc_month_never_online_features
11,raw_pv,144,4176,0.99593748498660317,posthoc_month_never_online_features
11,within_month_profile_residual,144,4176,0.55865070444211262,posthoc_month_never_online_features
11,raw_pv,1008,3312,0.99595692117543877,posthoc_month_never_online_features
11,within_month_profile_residual,1008,3312,0.34581445702357472,posthoc_month_never_online_features
12,raw_pv,144,4320,0.99510297928933311,posthoc_month_never_online_features
12,within_month_profile_residual,144,4320,-0.045897603193563938,posthoc_month_never_online_features
12,raw_pv,1008,3456,0.995491860059185,posthoc_month_never_online_features
12,within_month_profile_residual,1008,3456,0.0057012957322356249,posthoc_month_never_online_features
