date,execution_budget,K,M,S,selected,status,reliable,objective_yuan,lower_bound_yuan,gap,requested_gap,seconds,continuous_before,binary_before,constraints_before,continuous_after,binary_after,constraints_after,solver,version,audit_file
2025-02-01,original,2,16,16,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,79739.1356565241,78188.399849902169,0.019833323224402469,0.029999999999999999,2.0324359999976878,74544,36864,156592,72044,34220,145210,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-01.json
2025-02-01,original,3,15,15,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,138446.97408508733,134790.48621867085,0.027127195464556449,0.029999999999999999,2.8073274000016681,104931,51840,220245,102339,49113,206483,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-01.json
2025-02-02,original,2,17,17,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,112712.43591508176,110202.82006993936,0.022772700767091893,0.029999999999999999,2.2831944999998086,79149,39168,166379,78454,38337,161134,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-02.json
2025-02-02,original,3,16,16,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,169306.74066806468,166558.10141511218,0.016502585161571215,0.029999999999999999,3.3032782999980554,111840,55296,234928,110884,54212,226559,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-02.json
2025-02-03,original,2,18,18,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,111451.74431778699,109031.07594301901,0.022201637045506636,0.029999999999999999,2.4186386000001221,83754,41472,176166,82828,40402,169930,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-03.json
2025-02-03,original,3,17,17,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,167371.67455959829,164366.06094207664,0.018286096291988432,0.029999999999999999,3.5445407000006526,118749,58752,249611,117462,57329,239719,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-03.json
2025-02-04,original,2,19,19,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,110499.07673866863,107936.8770938605,0.02373794493405695,0.029999999999999999,2.2452049999992596,88359,43776,185953,87222,42468,178749,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-04.json
2025-02-04,original,3,18,18,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,166223.98851194253,163323.78630000501,0.01775737801357492,0.029999999999999999,3.8662569000007352,125658,62208,264294,124084,60472,253008,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-04.json
2025-02-05,original,2,20,20,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,109366.80735859209,107075.78060056025,0.02139631152051447,0.029999999999999999,2.5992079000025115,92964,46080,195740,91692,44648,187932,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-05.json
2025-02-05,original,3,19,19,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,131997.23424408206,129086.79013326908,0.022546413213995354,0.029999999999999999,3.824441000000661,132567,65664,278977,128710,61655,258893,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-05.json
2025-02-06,original,2,21,21,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,76526.197271232391,74327.831641271885,0.029576614592639668,0.029999999999999999,2.7789487999980338,97569,48384,205527,93962,44588,188770,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-06.json
2025-02-06,original,3,20,20,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,97131.506337589832,94650.086708342133,0.026216770798045082,0.029999999999999999,4.0778462999987823,139476,69120,293660,133104,62568,263808,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-06.json
2025-02-07,original,2,22,22,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,40731.344863450642,39580.211128901166,0.029083567310961785,0.029999999999999999,2.9699091999973461,102174,50688,215314,95788,44104,188586,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-07.json
2025-02-07,original,3,21,21,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,95126.770948715042,92646.853395193932,0.026767423421740912,0.029999999999999999,4.2623437000002014,146385,72576,308343,139718,65720,277665,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-07.json
2025-02-08,original,2,23,23,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,71812.674209656572,69732.949894748759,0.029824126443049367,0.029999999999999999,3.2396388999986812,106779,52992,225101,102462,48491,206101,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-08.json
2025-02-08,original,3,22,22,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,126169.30304713723,122988.08094108039,0.025866100858837383,0.029999999999999999,4.4015889000002062,153294,76032,323026,148452,71014,299012,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-08.json
2025-02-09,original,2,24,24,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,105235.05040719833,102958.86128428004,0.022107753470908171,0.029999999999999999,3.4550296000015805,111384,55296,234888,109472,53168,224074,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-09.json
2025-02-09,original,3,23,23,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,158515.06858175146,155681.72272368026,0.018199604992167984,0.029999999999999999,4.9837674999980663,160203,79488,337709,157542,76620,320917,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-09.json
2025-02-10,original,2,25,25,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,105644.39925697149,103688.08157071247,0.01886733418753498,0.029999999999999999,3.707742300000973,115989,57600,244675,114210,55596,234179,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-10.json
2025-02-10,original,3,24,24,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,159251.13518002891,156366.30943089392,0.018449151608390058,0.029999999999999999,5.1633593000005931,167112,82944,352392,164572,80188,335733,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-10.json
2025-02-11,original,2,26,26,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,104269.86554488447,102058.96439588667,0.021662978476067185,0.029999999999999999,3.8445829999982379,120594,59904,254462,118416,57492,242347,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-11.json
2025-02-11,original,3,25,25,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,156248.49428780135,153735.58768334251,0.016345640214644439,0.029999999999999999,5.4486094999992929,174021,86400,367075,170846,83000,347778,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-11.json
2025-02-12,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,103086.56637237997,100891.90980780219,0.021752552496613124,0.029999999999999999,3.9035609999991721,125199,62208,264249,122534,59300,250207,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-12.json
2025-02-12,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,122381.36355716208,120058.47589010774,0.01934796897788817,0.029999999999999999,5.6531740999998874,180930,89856,381758,174248,82940,349051,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-12.json
2025-02-13,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,69734.900351336808,68025.065944610542,0.025135358312162459,0.029999999999999999,3.6998041000006197,125199,62208,264249,119338,56104,238261,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-13.json
2025-02-13,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,88585.488720006484,86646.355252295194,0.022379861934930308,0.029999999999999999,5.2907236999999441,180930,89856,381758,171112,79804,337319,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-13.json
2025-02-14,original,2,27,27,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,36162.658833827249,35120.674081952144,0.029668700248853177,0.029999999999999999,3.6806106000040018,125199,62208,264249,116197,52963,227256,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-14.json
2025-02-14,original,3,26,26,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,86502.150476364404,84465.256345570611,0.024115171360639676,0.029999999999999999,5.2565484000006109,180930,89856,381758,170630,79322,336272,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-14.json
2025-02-15,original,2,27,27,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,66937.955699198792,65425.163519708658,0.023122482208766983,0.029999999999999999,3.9548777999989397,125199,62208,264249,118918,55657,237423,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-15.json
2025-02-15,original,3,26,26,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,116810.64693714425,114088.58515837173,0.023859194808962689,0.029999999999999999,6.0841395999996166,180930,89856,381758,173080,81746,345422,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-15.json
2025-02-16,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,97497.557095047348,95083.17341019804,0.025392333872087156,0.029999999999999999,3.5135604999959469,125199,62208,264249,121607,58373,246831,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-16.json
2025-02-16,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,146697.45428829562,143616.50834636288,0.021452589102795561,0.029999999999999999,6.7100087999970128,180930,89856,381758,175630,84322,354339,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-16.json
2025-02-17,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,98123.790592562262,95623.988876815973,0.026141993710036143,0.029999999999999999,3.8232590000043274,125199,62208,264249,121610,58376,246879,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-17.json
2025-02-17,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,147563.0139571375,144344.73306422748,0.022295797183524705,0.029999999999999999,6.1715296999973361,180930,89856,381758,175764,84456,354876,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-17.json
2025-02-18,original,2,27,27,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,97428.248587400172,95261.69456124815,0.022743181675810353,0.029999999999999999,3.8652682999963872,125199,62208,264249,121722,58488,247267,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-18.json
2025-02-18,original,3,26,26,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,146274.30270140161,142708.44496754819,0.024987012749415755,0.029999999999999999,6.4501944000003277,180930,89856,381758,175544,84236,354066,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-18.json
2025-02-19,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,96836.11223385777,94558.113840492821,0.024090988079644174,0.029999999999999999,4.0945230000033916,125199,62208,264249,121730,58496,247278,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-19.json
2025-02-19,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,115652.14391504764,112689.6921325661,0.026288578186872382,0.029999999999999999,6.045778200001223,180930,89856,381758,172948,81640,344275,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-19.json
2025-02-20,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,65369.081226637252,63885.027787985076,0.023230066418336651,0.029999999999999999,3.704931200005376,125199,62208,264249,118478,55244,235167,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-20.json
2025-02-20,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,83743.016186610505,81877.440693573706,0.02278497565671006,0.029999999999999999,4.9804791999995359,180930,89856,381758,169836,78528,332679,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-20.json
2025-02-21,original,2,27,27,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,34964.882570776128,33989.540272049991,0.028695366013178243,0.029999999999999999,3.666710299999977,125199,62208,264249,115584,52350,225040,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-21.json
2025-02-21,original,3,26,26,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,83012.575728814234,80905.439241333937,0.026044435420403449,0.029999999999999999,5.3511475999985123,180930,89856,381758,169716,78408,332928,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-21.json
2025-02-22,original,2,27,27,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,64616.117921946243,63001.019376889162,0.025636070035551704,0.029999999999999999,3.6717839999982971,125199,62208,264249,118312,55078,235294,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-22.json
2025-02-22,original,3,26,26,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,111937.35506870288,109292.06170845154,0.024203892935133243,0.029999999999999999,5.8598946999991313,180930,89856,381758,172172,80864,342158,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-22.json
