K,S,attempted,reliable,mean_seconds,max_seconds,max_gap,mean_continuous_before,max_binary_before,max_constraints_before,max_binary_after,max_constraints_after
1,28,1,0,120.18832020000264,120.18832020000264,0.039546563195582141,36720,16128,88620,,
2,16,1,1,2.0324359999976878,2.0324359999976878,0.019833323224402469,74544,36864,156592,34220,145210
2,17,1,1,2.2831944999998086,2.2831944999998086,0.022772700767091893,79149,39168,166379,38337,161134
2,18,1,1,2.4186386000001221,2.4186386000001221,0.022201637045506636,83754,41472,176166,40402,169930
2,19,1,1,2.2452049999992596,2.2452049999992596,0.02373794493405695,88359,43776,185953,42468,178749
2,20,1,1,2.5992079000025115,2.5992079000025115,0.02139631152051447,92964,46080,195740,44648,187932
2,21,1,1,2.7789487999980338,2.7789487999980338,0.029576614592639668,97569,48384,205527,44588,188770
2,22,1,1,2.9699091999973461,2.9699091999973461,0.029083567310961785,102174,50688,215314,44104,188586
2,23,1,1,3.2396388999986812,3.2396388999986812,0.029824126443049367,106779,52992,225101,48491,206101
2,24,1,1,3.4550296000015805,3.4550296000015805,0.022107753470908171,111384,55296,234888,53168,224074
2,25,1,1,3.707742300000973,3.707742300000973,0.01886733418753498,115989,57600,244675,55596,234179
2,26,1,1,3.8445829999982379,3.8445829999982379,0.021662978476067185,120594,59904,254462,57492,242347
2,27,324,315,15.209834451234718,900.35890980000113,0.051129526524050499,93675.419999999998,62208,264249,60158,253252
3,15,1,1,2.8073274000016681,2.8073274000016681,0.027127195464556449,104931,51840,220245,49113,206483
3,16,1,1,3.3032782999980554,3.3032782999980554,0.016502585161571215,111840,55296,234928,54212,226559
3,17,1,1,3.5445407000006526,3.5445407000006526,0.018286096291988432,118749,58752,249611,57329,239719
3,18,1,1,3.8662569000007352,3.8662569000007352,0.01775737801357492,125658,62208,264294,60472,253008
3,19,1,1,3.824441000000661,3.824441000000661,0.022546413213995354,132567,65664,278977,61655,258893
3,20,1,1,4.0778462999987823,4.0778462999987823,0.026216770798045082,139476,69120,293660,62568,263808
3,21,1,1,4.2623437000002014,4.2623437000002014,0.026767423421740912,146385,72576,308343,65720,277665
3,22,1,1,4.4015889000002062,4.4015889000002062,0.025866100858837383,153294,76032,323026,71014,299012
3,23,1,1,4.9837674999980663,4.9837674999980663,0.018199604992167984,160203,79488,337709,76620,320917
3,24,1,1,5.1633593000005931,5.1633593000005931,0.018449151608390058,167112,82944,352392,80188,335733
3,25,1,1,5.4486094999992929,5.4486094999992929,0.016345640214644439,174021,86400,367075,83000,347778
3,26,324,321,17.086231970987672,824.87523959999817,0.035142239691493299,144510.7474048443,89856,381758,87058,364253
