history_day,hour,complete_at_slot,initial_soc,delta,value,J_E,J_E_plus_delta,seconds
0,0,144,6000,100,0.47544444444443795,59561.129049846175,59513.584605401731,0.062378540998906828
1,0,288,6000,100,0.47544444444443795,60297.104101366669,60249.559656922225,0.062846834000083618
2,0,432,6000,100,0.47544444444443795,23645.48514136926,23597.940696924816,0.061503541001002304
3,0,576,6000,100,0.47544444444443795,23422.84046931265,23375.296024868207,0.061640250016353093
4,0,720,6000,100,0.47544444444443795,59048.826741770659,59001.282297326215,0.017663457998423837
5,0,864,6000,100,0.47544444444443795,58736.12574734167,58688.581302897226,0.017380874007358216
6,0,1008,6000,100,0.47544444444443795,59965.570234670005,59918.025790225562,0.01757566598826088
0,6,180,6000,100,0.89298000000002498,61137.794427814661,61048.496427814658,0.017327582987491041
1,6,324,6000,100,0.89792999999990575,59331.998927097113,59242.205927097122,0.017462001007515937
2,6,468,6000,100,0.77400000000001457,24565.266135208971,24487.866135208969,0.015351625013863668
3,6,612,6000,100,0.76655555555556931,27100.165801961459,27023.510246405902,0.015537957006017677
4,6,756,6000,100,0.89534892516654507,60542.266033520362,60452.731141003707,0.016969250005786307
5,6,900,6000,100,0.89792999999990575,60148.842601290373,60059.049601290382,0.016685707974829711
0,12,216,6000,100,0.84383999999990922,60186.740791093347,60102.356791093356,0.017989957996178418
1,12,360,6000,100,0.84383999999998194,46518.799811831661,46434.415811831663,0.016854999994393438
2,12,504,6000,100,0.50566666666665694,23894.914725926526,23844.348059259861,0.027956417005043477
3,12,648,6000,100,0.63133333333331398,38065.698688338452,38002.565355005121,0.028726915988954715
4,12,792,6000,100,0.84383999999990922,59172.399184918359,59088.015184918368,0.026598084004945122
5,12,936,6000,100,0.83711111111115311,58090.829155995001,58007.118044883886,0.017212417005794123
0,18,252,6000,100,1.2134700000000158,59863.326414817413,59741.979414817411,0.023117915989132598
1,18,396,6000,100,1.2134536375500102,32421.287161458513,32299.941797703512,0.017395875984220766
2,18,540,6000,100,1.2100499999999739,23087.295130160368,22966.290130160371,0.030420249997405335
3,18,684,6000,100,1.2100500000000465,50569.107819483717,50448.102819483713,0.020267583007807843
4,18,828,6000,100,1.213469999999943,58344.990627728832,58223.643627728838,0.01746074999391567
5,18,972,6000,100,1.2134639307833277,59697.882942212229,59576.536549133896,0.018137791994377039
7,0,1152,6000,100,0.47544444444443795,57988.568986484213,57941.02454203977,0.015689292005845346
6,6,1044,6000,100,0.89475529825002009,61654.65898621286,61565.183456387858,0.017053916002623737
6,12,1080,6000,100,0.84383999999998194,59743.615984848351,59659.231984848353,0.016387542011216283
6,18,1116,6000,100,1.213469999999943,57596.520809184345,57475.173809184351,0.015101375000085682
8,0,1296,6000,100,0.47544444444443795,59045.781983245368,58998.237538800924,0.015041457998449914
7,6,1188,6000,100,0.89793000000005119,59474.413789120023,59384.620789120017,0.014957583000068553
7,12,1224,6000,100,0.83711111111115311,57488.52243621755,57404.811325106435,0.014752499992027879
7,18,1260,6000,100,1.2134501584333339,58464.78949637778,58343.444480534446,0.014672875011456199
9,0,1440,6000,100,0.47544444444443795,23629.745952424506,23582.201507980062,0.013207751006120816
8,6,1332,6000,100,0.89792999999997847,57840.276085881625,57750.483085881628,0.01427112398960162
8,12,1368,6000,100,0.84384000000005477,45710.958174058338,45626.574174058333,0.013776333988062106
8,18,1404,6000,100,1.2134442284000033,32078.154535383579,31956.810112543579,0.013134959008311853
10,0,1584,6000,100,0.47544444444443795,23293.063271712963,23245.518827268519,0.013369958993280306
9,6,1476,6000,100,0.76655555555556931,24687.5484918129,24610.892936257344,0.030166166994604282
9,12,1512,6000,100,0.63133333333331398,24478.847043272835,24415.713709939504,0.013236333019449376
9,18,1548,6000,100,1.2100499999999739,23206.4523823087,23085.447382308703,0.013549707990023308
11,0,1728,6000,100,0.47544444444443795,58697.107248164248,58649.562803719804,0.014735499993548729
10,6,1620,6000,100,0.76655555555556931,26866.893966637428,26790.238411081871,0.014076999999815598
10,12,1656,6000,100,0.6313333333333867,37690.370605369637,37627.237272036298,0.015209667006274685
10,18,1692,6000,100,1.2100500000000465,50326.639564294332,50205.634564294327,0.015838166989851743
12,0,1872,6000,100,0.47544444444443795,56718.794024119125,56671.249579674681,0.015724331999081187
11,6,1764,6000,100,0.89792999999997847,60239.628690044025,60149.835690044027,0.015314042000682093
11,12,1800,6000,100,0.83711111111108039,57384.594678572583,57300.883567461475,0.015899042002274655
11,18,1836,6000,100,1.2134314931500558,56065.231984442871,55943.888835127866,0.015158166992478073
13,0,2016,6000,100,0.47544444444451073,57604.760623171424,57557.216178726972,0.015427541991812177
12,6,1908,6000,100,0.89298000000002498,58337.576259733505,58248.278259733503,0.014513873989926651
12,12,1944,6000,100,0.83711111111100767,57061.589560785796,56977.878449674696,0.015218791988445446
12,18,1980,6000,100,1.2134595408999302,57127.728207694439,57006.382253604446,0.015721041985671036
14,0,2160,6000,100,0.47544444444451073,58437.438925580704,58389.894481136253,0.016088916003354825
13,6,2052,6000,100,0.89298000000002498,59006.068750535007,58916.770750535004,0.015650458008167334
13,12,2088,6000,100,0.8384317751802155,57457.745550014995,57373.902372496974,0.017070207002689131
13,18,2124,6000,100,1.2134700000000158,57986.353903425741,57865.006903425739,0.018001000004005618
15,0,2304,6000,100,0.47544444444443795,57680.881309402772,57633.336864958328,0.01689983400865458
14,6,2196,6000,100,0.89626011841661235,59965.559530036109,59875.933518194448,0.015542250010184944
14,12,2232,6000,100,0.84383999999998194,58907.84592799333,58823.461927993332,0.036440291994949803
14,18,2268,6000,100,1.2134700000000158,57326.962335666038,57205.615335666036,0.017147582999314182
16,0,2448,6000,100,0.47544444444443795,21934.393733189445,21886.849288745001,0.01357916698907502
15,6,2340,6000,100,0.89793000000005119,56535.452492849312,56445.659492849307,0.017041208004229702
15,12,2376,6000,100,0.83711111111100767,43593.317164486434,43509.606053375333,0.016428082992206328
15,18,2412,6000,100,1.2134700000000158,30612.701365977162,30491.35436597716,0.014562541007762775
17,0,2592,6000,100,0.47544444444443795,22282.901073580193,22235.356629135749,0.014328666002256796
16,6,2484,6000,100,0.7665555555555329,22825.904012803556,22749.248457248003,0.015221292007481679
16,12,2520,6000,100,0.50566666666669335,22800.750048791175,22750.183382124505,0.014887790995999239
16,18,2556,6000,100,1.2100500000000103,22481.556917329945,22360.551917329944,0.015530709017184563
18,0,2736,6000,100,0.47544444444443795,57347.770317680086,57300.225873235642,0.01693887599685695
17,6,2628,6000,100,0.75978000000002799,25628.92370345999,25552.945703459987,0.015648582993890159
17,12,2664,6000,100,0.49843968768895136,35672.792492588349,35622.948523819454,0.015985666992492042
17,18,2700,6000,100,1.2100500000000465,48793.512302980569,48672.507302980564,0.016602123985649087
19,0,2880,6000,100,0.47544444444443795,56860.104355389878,56812.559910945434,0.017170957988128066
18,6,2772,6000,100,0.89298000000002498,58958.936025139024,58869.638025139022,0.016409959003794938
18,12,2808,6000,100,0.84383999999998194,57919.418736009997,57835.034736009999,0.01742316699528601
18,18,2844,6000,100,1.2134700000000158,56471.162481886262,56349.81548188626,0.018054665983072482
20,0,3024,6000,100,0.47544444444443795,53392.642777014073,53345.098332569629,0.017350541005725972
19,6,2916,6000,100,0.89792999999997847,58418.888804692186,58329.095804692188,0.039211208000779152
19,12,2952,6000,100,0.83711111111108039,54646.798756979872,54563.087645868764,0.017247333016712219
19,18,2988,6000,100,1.2134376979334047,53259.58398247834,53138.240212684999,0.01770762400701642
21,0,3168,6000,100,0.47544444444443795,57328.572231487975,57281.027787043531,0.016447250003693625
20,6,3060,6000,100,0.89270999999993361,54780.350807731746,54691.079807731752,0.01714970801549498
20,12,3096,6000,100,0.83711111111108039,54768.540314087222,54684.829202976114,0.017015499004628509
20,18,3132,6000,100,1.2133800000000337,56257.06510937983,56135.727109379826,0.01658783400489483
22,0,3312,6000,100,0.47544444444443795,57647.240779575419,57599.696335130975,0.016763998995884322
21,6,3204,6000,100,0.89297999999995226,58851.439823693996,58762.141823694001,0.015714915993157774
21,12,3240,6000,100,0.84154226388141984,57667.871771405007,57583.717545016865,0.018160834006266668
21,18,3276,6000,100,1.2134700000000158,57573.186231508807,57451.839231508806,0.016742665990022942
