issue_hour,lag_hours,correlation,pairs
0,1,0.74167995684772281,8395
0,2,0.50097246692451936,8030
0,3,0.27909633501138398,7665
0,4,0.10931679544304954,7300
0,5,-0.0053537641533871637,6935
0,6,-0.0022377613105563068,6570
0,7,-0.0037736044724446002,6205
0,8,-0.0044558114590996329,5840
0,9,-0.0051573179269894676,5475
0,10,-0.0053458853376017615,5110
0,11,-0.0051196717640254619,4745
0,12,-0.0047603061672295745,4380
0,13,-0.0044890893820065713,4015
0,14,-0.0040435161196143996,3650
0,15,-0.0031339213035445511,3285
0,16,-0.0014124741241853898,2920
0,17,-0.00057574754173178372,2555
0,18,-0.00082675399823477008,2190
0,19,,1825
0,20,,1460
0,21,,1095
0,22,,730
0,23,,365
6,1,0.75297395950718782,8372
6,2,0.4995014528096699,8008
6,3,0.27296568261621978,7644
6,4,0.10637449072890286,7280
6,5,0.0068274545798178918,6916
6,6,0.0022637559596535156,6552
6,7,-0.00044570499742176541,6188
6,8,-0.0018630642642882783,5824
6,9,-0.0009635048045815984,5460
6,10,0.00045045396114344399,5096
6,11,-0.00014939414782584286,4732
6,12,0.002835100313034643,4368
6,13,0.0068603931562006559,4004
6,14,-0.0038521551678735366,3640
6,15,-0.0042498071677923048,3276
6,16,0.01577457455274163,2912
6,17,0.030005788412947133,2548
6,18,0.033376148601051162,2184
6,19,0.10315701967854589,1820
6,20,0.070879991909967452,1456
6,21,0.12323294029081582,1092
6,22,0.16172779325696737,728
6,23,0.26177595703095952,364
12,1,0.839271334828949,8372
12,2,0.67629930229103419,8008
12,3,0.4646131915452319,7644
12,4,0.2390176503631268,7280
12,5,0.024731603150594687,6916
12,6,-0.0027448810824624967,6552
12,7,0.0025559129205925068,6188
12,8,0.002744131408946839,5824
12,9,0.0029278535399211839,5460
12,10,0.0031379371997071379,5096
12,11,0.0033802645901491314,4732
12,12,0.003665080793656269,4368
12,13,0.0035149906387306191,4004
12,14,0.003230727078392209,3640
12,15,0.001585089883912504,3276
12,16,-0.0034186078101265957,2912
12,17,-0.011494617611453354,2548
12,18,-0.02326670753571404,2184
12,19,-0.024996617358361846,1820
12,20,-0.029405986566964661,1456
12,21,-0.045957817067426347,1092
12,22,-0.031315391212605279,728
12,23,0.0056901309387624756,364
18,1,0.76209499759272292,8372
18,2,0.52429934490282548,8008
18,3,0.31615158591430342,7644
18,4,0.13490948469314543,7280
18,5,0.0057866012349094701,6916
18,6,-0.0039080721263137731,6552
18,7,-0.012072712032095999,6188
18,8,-0.018996517587600664,5824
18,9,-0.017483290568768111,5460
18,10,-0.01419147535081184,5096
18,11,-0.012300496889176279,4732
18,12,-0.0086032711361210337,4368
18,13,0.0087545366180398678,4004
18,14,-0.019592261255822467,3640
18,15,-0.027203815807242234,3276
18,16,-0.045290734550732979,2912
18,17,-0.033191074599720954,2548
18,18,0.0084088890444324361,2184
18,19,0.019713982598204963,1820
18,20,0.039992675086800787,1456
18,21,0.097979110221269636,1092
18,22,0.11210769203405056,728
18,23,0.056630945482284915,364
