history_day,hour,complete_at_slot,initial_soc,delta,value,J_E,J_E_plus_delta,seconds
3,0,576,6000,100,0.47544444444443795,23422.84046931265,23375.296024868207,0.014594834006857127
4,0,720,6000,100,0.47544444444443795,59048.826741770659,59001.282297326215,0.014875791996018961
5,0,864,6000,100,0.47544444444443795,58736.12574734167,58688.581302897226,0.016475917000207119
6,0,1008,6000,100,0.47544444444443795,59965.570234670005,59918.025790225562,0.030454333988018334
7,0,1152,6000,100,0.47544444444443795,57988.568986484213,57941.02454203977,0.014305958000477403
8,0,1296,6000,100,0.47544444444443795,59045.781983245368,58998.237538800924,0.014514667011098936
9,0,1440,6000,100,0.47544444444443795,23629.745952424506,23582.201507980062,0.013012749986955896
10,0,1584,6000,100,0.47544444444443795,23293.063271712963,23245.518827268519,0.012686917005339637
11,0,1728,6000,100,0.47544444444443795,58697.107248164248,58649.562803719804,0.014544207995641045
12,0,1872,6000,100,0.47544444444443795,56718.794024119125,56671.249579674681,0.01469187498150859
13,0,2016,6000,100,0.47544444444451073,57604.760623171424,57557.216178726972,0.015078791999258101
14,0,2160,6000,100,0.47544444444451073,58437.438925580704,58389.894481136253,0.015592208990710787
15,0,2304,6000,100,0.47544444444443795,57680.881309402772,57633.336864958328,0.01537245798681397
16,0,2448,6000,100,0.47544444444443795,21934.393733189445,21886.849288745001,0.012766793006449006
17,0,2592,6000,100,0.47544444444443795,22282.901073580193,22235.356629135749,0.012883167000836693
18,0,2736,6000,100,0.47544444444443795,57347.770317680086,57300.225873235642,0.014805500002694316
19,0,2880,6000,100,0.47544444444443795,56860.104355389878,56812.559910945434,0.015135459005250596
20,0,3024,6000,100,0.47544444444443795,53392.642777014073,53345.098332569629,0.014922292000846937
21,0,3168,6000,100,0.47544444444443795,57328.572231487975,57281.027787043531,0.014248291001422331
22,0,3312,6000,100,0.47544444444443795,57647.240779575419,57599.696335130975,0.014309416001196951
23,0,3456,6000,100,0.47544444444443795,20403.338093758335,20355.793649313891,0.012696582998614758
24,0,3600,6000,100,0.47544444444443795,19809.306866622508,19761.762422178064,0.0127222909941338
25,0,3744,6000,100,0.47544444444443795,56110.100346633146,56062.555902188702,0.014532749992213212
26,0,3888,6000,100,0.47544444444443795,53540.05340881001,53492.508964365566,0.031036541011417285
27,0,4032,6000,100,0.47544444444443795,55668.674200105008,55621.129755660564,0.014764083010959439
28,0,4176,6000,100,0.47544444444443795,51263.908703957626,51216.364259513182,0.014784875005716458
29,0,4320,6000,100,0.47544444444451073,53559.211303125747,53511.666858681296,0.014274000001023524
30,0,4464,6000,100,0.47544444444443795,19703.465274862901,19655.920830418458,0.012511667009675875
2,6,468,6000,100,0.77400000000001457,24565.266135208971,24487.866135208969,0.013815665995934978
3,6,612,6000,100,0.76655555555556931,27100.165801961459,27023.510246405902,0.013670792002812959
4,6,756,6000,100,0.89534892516654507,60542.266033520362,60452.731141003707,0.015139957977226004
