history_day,hour,complete_at_slot,initial_soc,delta,value,J_E,J_E_plus_delta,seconds
3,0,576,6000,100,0.47544444444443795,23422.84046931265,23375.296024868207,0.014337083004647866
4,0,720,6000,100,0.47544444444443795,59048.826741770659,59001.282297326215,0.01588741599698551
5,0,864,6000,100,0.47544444444443795,58736.12574734167,58688.581302897226,0.015040416998090222
6,0,1008,6000,100,0.47544444444443795,59965.570234670005,59918.025790225562,0.032123583005159162
7,0,1152,6000,100,0.47544444444443795,57988.568986484213,57941.02454203977,0.014412042000913061
8,0,1296,6000,100,0.47544444444443795,59045.781983245368,58998.237538800924,0.014364624992595054
9,0,1440,6000,100,0.47544444444443795,23629.745952424506,23582.201507980062,0.012814332993002608
10,0,1584,6000,100,0.47544444444443795,23293.063271712963,23245.518827268519,0.012769709006533958
11,0,1728,6000,100,0.47544444444443795,58697.107248164248,58649.562803719804,0.014344249997520819
12,0,1872,6000,100,0.47544444444443795,56718.794024119125,56671.249579674681,0.014217334013665095
13,0,2016,6000,100,0.47544444444451073,57604.760623171424,57557.216178726972,0.014750959002412856
14,0,2160,6000,100,0.47544444444451073,58437.438925580704,58389.894481136253,0.01536966601270251
15,0,2304,6000,100,0.47544444444443795,57680.881309402772,57633.336864958328,0.015337457996793091
16,0,2448,6000,100,0.47544444444443795,21934.393733189445,21886.849288745001,0.012579500005813316
17,0,2592,6000,100,0.47544444444443795,22282.901073580193,22235.356629135749,0.012813875000574626
18,0,2736,6000,100,0.47544444444443795,57347.770317680086,57300.225873235642,0.0147562089987332
19,0,2880,6000,100,0.47544444444443795,56860.104355389878,56812.559910945434,0.015152334017329849
20,0,3024,6000,100,0.47544444444443795,53392.642777014073,53345.098332569629,0.014680415988550521
21,0,3168,6000,100,0.47544444444443795,57328.572231487975,57281.027787043531,0.01424699900962878
22,0,3312,6000,100,0.47544444444443795,57647.240779575419,57599.696335130975,0.014239376003388315
23,0,3456,6000,100,0.47544444444443795,20403.338093758335,20355.793649313891,0.012424832995748147
24,0,3600,6000,100,0.47544444444443795,19809.306866622508,19761.762422178064,0.012591999009600841
25,0,3744,6000,100,0.47544444444443795,56110.100346633146,56062.555902188702,0.014348500015330501
26,0,3888,6000,100,0.47544444444443795,53540.05340881001,53492.508964365566,0.030719791990122758
27,0,4032,6000,100,0.47544444444443795,55668.674200105008,55621.129755660564,0.014626958000008017
28,0,4176,6000,100,0.47544444444443795,51263.908703957626,51216.364259513182,0.014657542007626034
29,0,4320,6000,100,0.47544444444451073,53559.211303125747,53511.666858681296,0.01422233201446943
30,0,4464,6000,100,0.47544444444443795,19703.465274862901,19655.920830418458,0.012416625002515502
2,6,468,6000,100,0.77400000000001457,24565.266135208971,24487.866135208969,0.013839584004017524
3,6,612,6000,100,0.76655555555556931,27100.165801961459,27023.510246405902,0.014261666001402773
4,6,756,6000,100,0.89534892516654507,60542.266033520362,60452.731141003707,0.015197167012956925
5,6,900,6000,100,0.89792999999990575,60148.842601290373,60059.049601290382,0.014947374991606921
6,6,1044,6000,100,0.89475529825002009,61654.65898621286,61565.183456387858,0.01565095798287075
7,6,1188,6000,100,0.89793000000005119,59474.413789120023,59384.620789120017,0.014758041987079196
8,6,1332,6000,100,0.89792999999997847,57840.276085881625,57750.483085881628,0.013351874993531965
9,6,1476,6000,100,0.76655555555556931,24687.5484918129,24610.892936257344,0.013286667002830654
10,6,1620,6000,100,0.76655555555556931,26866.893966637428,26790.238411081871,0.014011249993927777
11,6,1764,6000,100,0.89792999999997847,60239.628690044025,60149.835690044027,0.014295500004664063
12,6,1908,6000,100,0.89298000000002498,58337.576259733505,58248.278259733503,0.014812457986408845
13,6,2052,6000,100,0.89298000000002498,59006.068750535007,58916.770750535004,0.015167459001531824
14,6,2196,6000,100,0.89626011841661235,59965.559530036109,59875.933518194448,0.014544334000675008
15,6,2340,6000,100,0.89793000000005119,56535.452492849312,56445.659492849307,0.015489540994167328
16,6,2484,6000,100,0.7665555555555329,22825.904012803556,22749.248457248003,0.013158541987650096
17,6,2628,6000,100,0.75978000000002799,25628.92370345999,25552.945703459987,0.01370174900512211
18,6,2772,6000,100,0.89298000000002498,58958.936025139024,58869.638025139022,0.014716125006088987
19,6,2916,6000,100,0.89792999999997847,58418.888804692186,58329.095804692188,0.015827333001652732
20,6,3060,6000,100,0.89270999999993361,54780.350807731746,54691.079807731752,0.014856667985441163
21,6,3204,6000,100,0.89297999999995226,58851.439823693996,58762.141823694001,0.014415042998734862
22,6,3348,6000,100,0.89777997466662784,56591.941231942059,56502.163234475396,0.014175000003888272
23,6,3492,6000,100,0.76631692299837595,21257.231587007882,21180.599894708044,0.013277208010549657
24,6,3636,6000,100,0.75978000000002799,23169.882249669587,23093.904249669584,0.014017958004842512
25,6,3780,6000,100,0.89298000000002498,57555.602313346695,57466.304313346693,0.014604374009650201
26,6,3924,6000,100,0.88577777777769373,55111.961124359164,55023.383346581395,0.015044542000396177
27,6,4068,6000,100,0.89297999999995226,57013.131737455071,56923.833737455076,0.014682583001558669
28,6,4212,6000,100,0.88577777777776645,52714.650724668027,52626.07294689025,0.014943083995603956
29,6,4356,6000,100,0.89297999999995226,52409.515076327429,52320.217076327433,0.013776917010545731
2,12,504,6000,100,0.50566666666665694,23894.914725926526,23844.348059259861,0.013419458991847932
3,12,648,6000,100,0.63133333333331398,38065.698688338452,38002.565355005121,0.014082624998991378
4,12,792,6000,100,0.84383999999990922,59172.399184918359,59088.015184918368,0.014635416999226436
5,12,936,6000,100,0.83711111111115311,58090.829155995001,58007.118044883886,0.014739415986696258
6,12,1080,6000,100,0.84383999999998194,59743.615984848351,59659.231984848353,0.046683416003361344
7,12,1224,6000,100,0.83711111111115311,57488.52243621755,57404.811325106435,0.01409487500495743
8,12,1368,6000,100,0.84384000000005477,45710.958174058338,45626.574174058333,0.013632457994390279
9,12,1512,6000,100,0.63133333333331398,24478.847043272835,24415.713709939504,0.012959832994965836
10,12,1656,6000,100,0.6313333333333867,37690.370605369637,37627.237272036298,0.013700166993658058
11,12,1800,6000,100,0.83711111111108039,57384.594678572583,57300.883567461475,0.014379416985320859
12,12,1944,6000,100,0.83711111111100767,57061.589560785796,56977.878449674696,0.014535250011249445
13,12,2088,6000,100,0.8384317751802155,57457.745550014995,57373.902372496974,0.01534087500476744
14,12,2232,6000,100,0.84383999999998194,58907.84592799333,58823.461927993332,0.015268125003785826
15,12,2376,6000,100,0.83711111111100767,43593.317164486434,43509.606053375333,0.014035583008080721
16,12,2520,6000,100,0.50566666666669335,22800.750048791175,22750.183382124505,0.012088751012925059
17,12,2664,6000,100,0.49843968768895136,35672.792492588349,35622.948523819454,0.014015459004440345
18,12,2808,6000,100,0.84383999999998194,57919.418736009997,57835.034736009999,0.015331083995988593
19,12,2952,6000,100,0.83711111111108039,54646.798756979872,54563.087645868764,0.014404375004232861
20,12,3096,6000,100,0.83711111111108039,54768.540314087222,54684.829202976114,0.014089000003878027
21,12,3240,6000,100,0.84154226388141984,57667.871771405007,57583.717545016865,0.013903166982345283
22,12,3384,6000,100,0.83711111111115311,44330.797716225417,44247.086605114302,0.013310501002706587
23,12,3528,6000,100,0.49588888888887594,22044.627052500375,21995.038163611487,0.012698375998297706
24,12,3672,6000,100,0,33731.459723463326,33731.459723463326,0.013500874993042089
25,12,3816,6000,100,0.83711111111115311,54641.807119821482,54558.096008710367,0.031434041011380032
26,12,3960,6000,100,0.83711111111115311,54690.803327158719,54607.092216047604,0.014335458006826229
27,12,4104,6000,100,0.83711111111115311,53678.043661795011,53594.332550683896,0.014040167006896809
28,12,4248,6000,100,0.81200000000004369,52492.369439969079,52411.169439969075,0.013902582999435253
29,12,4392,6000,100,0.81220327195929709,41447.825965366297,41366.605638170367,0.013500999004463665
2,18,540,6000,100,1.2100499999999739,23087.295130160368,22966.290130160371,0.014523042002110742
3,18,684,6000,100,1.2100500000000465,50569.107819483717,50448.102819483713,0.015574124990962446
4,18,828,6000,100,1.213469999999943,58344.990627728832,58223.643627728838,0.014808876003371552
5,18,972,6000,100,1.2134639307833277,59697.882942212229,59576.536549133896,0.015540916981990449
6,18,1116,6000,100,1.213469999999943,57596.520809184345,57475.173809184351,0.014191748996381648
7,18,1260,6000,100,1.2134501584333339,58464.78949637778,58343.444480534446,0.014568792001227848
8,18,1404,6000,100,1.2134442284000033,32078.154535383579,31956.810112543579,0.012779458003933541
9,18,1548,6000,100,1.2100499999999739,23206.4523823087,23085.447382308703,0.013440750000881962
10,18,1692,6000,100,1.2100500000000465,50326.639564294332,50205.634564294327,0.014472583003225736
11,18,1836,6000,100,1.2134314931500558,56065.231984442871,55943.888835127866,0.0144509580131853
12,18,1980,6000,100,1.2134595408999302,57127.728207694439,57006.382253604446,0.014803792000748217
13,18,2124,6000,100,1.2134700000000158,57986.353903425741,57865.006903425739,0.016728040995076299
14,18,2268,6000,100,1.2134700000000158,57326.962335666038,57205.615335666036,0.015849957999307662
15,18,2412,6000,100,1.2134700000000158,30612.701365977162,30491.35436597716,0.012722833009320311
16,18,2556,6000,100,1.2100500000000103,22481.556917329945,22360.551917329944,0.013452500992571004
17,18,2700,6000,100,1.2100500000000465,48793.512302980569,48672.507302980564,0.015147792000789195
18,18,2844,6000,100,1.2134700000000158,56471.162481886262,56349.81548188626,0.015548416005913168
19,18,2988,6000,100,1.2134376979334047,53259.58398247834,53138.240212684999,0.015639000004739501
20,18,3132,6000,100,1.2133800000000337,56257.06510937983,56135.727109379826,0.014446125001995824
21,18,3276,6000,100,1.2134700000000158,57573.186231508807,57451.839231508806,0.014578292000805959
22,18,3420,6000,100,1.2134540832499987,29593.487579574998,29472.142171249998,0.012941124994540587
23,18,3564,6000,100,1.2100500000000103,21153.299777775381,21032.29477777538,0.01317520800512284
