date,start,end,interval,energy_kwh,cost_yuan
2025-02-01,2025-02-01 21:10:00,2025-02-01 21:20:00,21:10-21:20,16.200301214323531,65.846124285617989
2025-02-03,2025-02-03 17:10:00,2025-02-03 17:20:00,17:10-17:20,5.6599145569338134,31.313477286236328
2025-02-04,2025-02-04 22:10:00,2025-02-04 22:30:00,22:10-22:30,73.575653129042962,164.4294378098156
2025-02-05,2025-02-05 00:00:00,2025-02-05 00:10:00,00:00-00:10,7.9262261158323781,18.436401945426113
2025-02-05,2025-02-05 11:40:00,2025-02-05 11:50:00,11:40-11:50,13.432471408966492,46.288296475298537
2025-02-07,2025-02-07 20:40:00,2025-02-07 20:50:00,20:40-20:50,0.39956648732294298,2.0200083766611385
2025-02-08,2025-02-08 06:20:00,2025-02-08 06:30:00,06:20-06:30,0.11545783676569954,0.46362094353266653
2025-02-08,2025-02-08 16:10:00,2025-02-08 16:20:00,16:10-16:20,2.516611577552851,8.9125799019034222
2025-02-08,2025-02-08 16:40:00,2025-02-08 16:50:00,16:40-16:50,9.1309553960932135,33.999112417353082
2025-02-09,2025-02-09 04:00:00,2025-02-09 04:10:00,04:00-04:10,5.8498661382418504,15.241826223189141
2025-02-09,2025-02-09 17:10:00,2025-02-09 17:20:00,17:10-17:20,17.849863653564512,98.82577011795992
2025-02-10,2025-02-10 04:30:00,2025-02-10 04:40:00,04:30-04:40,16.48713475592001,39.165188612687984
2025-02-10,2025-02-10 23:20:00,2025-02-10 23:30:00,23:20-23:30,20.023948139401114,38.476016349859236
2025-02-10,2025-02-10 23:40:00,2025-02-10 23:50:00,23:40-23:50,9.0993264164701486,20.819258840883702
2025-02-11,2025-02-11 06:00:00,2025-02-11 06:10:00,06:00-06:10,4.2908217061707319,22.936587430335646
2025-02-11,2025-02-11 06:30:00,2025-02-11 06:40:00,06:30-06:40,11.482414946940821,58.841635395598232
2025-02-11,2025-02-11 17:20:00,2025-02-11 17:30:00,17:20-17:30,17.37454073391973,94.847617866467814
2025-02-12,2025-02-12 04:30:00,2025-02-12 04:40:00,04:30-04:40,2.5446716112993499,5.9481698914122312
2025-02-12,2025-02-12 06:10:00,2025-02-12 06:20:00,06:10-06:20,1.9797788333054314,10.171113756106655
2025-02-12,2025-02-12 19:50:00,2025-02-12 20:00:00,19:50-20:00,0.89681815429037215,5.8113816398016116
2025-02-12,2025-02-12 23:10:00,2025-02-12 23:20:00,23:10-23:20,1.353568844133747,3.0414691927685293
2025-02-13,2025-02-13 00:00:00,2025-02-13 00:10:00,00:00-00:10,5.6437922288122309,12.935571788437633
2025-02-13,2025-02-13 01:40:00,2025-02-13 01:50:00,01:40-01:50,10.731696026168834,27.564361243214652
2025-02-13,2025-02-13 19:10:00,2025-02-13 19:20:00,19:10-19:20,8.0438796560461014,52.249020305847452
2025-02-13,2025-02-13 19:30:00,2025-02-13 19:50:00,19:30-19:50,40.741114435160739,260.93619634842736
2025-02-14,2025-02-14 03:00:00,2025-02-14 03:10:00,03:00-03:10,4.2426245195978254,8.7546556961901114
2025-02-14,2025-02-14 05:30:00,2025-02-14 05:40:00,05:30-05:40,11.128383411625691,23.430811273177891
2025-02-14,2025-02-14 05:50:00,2025-02-14 06:10:00,05:50-06:10,17.148880133675107,71.830483906534198
2025-02-14,2025-02-14 17:10:00,2025-02-14 17:20:00,17:10-17:20,14.540817210881187,53.517477744648204
2025-02-15,2025-02-15 02:20:00,2025-02-15 02:30:00,02:20-02:30,1.2437917552061322,2.5286286383340664
2025-02-15,2025-02-15 05:50:00,2025-02-15 06:20:00,05:50-06:20,80.819529697804853,348.83924607171167
2025-02-15,2025-02-15 06:40:00,2025-02-15 06:50:00,06:40-06:50,27.240519746438451,106.93266026464414
2025-02-15,2025-02-15 19:30:00,2025-02-15 19:50:00,19:30-19:50,31.322912893981311,174.24729910864099
2025-02-15,2025-02-15 21:00:00,2025-02-15 21:20:00,21:00-21:20,14.897291789466067,59.121764248362695
2025-02-15,2025-02-15 23:40:00,2025-02-15 23:50:00,23:40-23:50,8.9479770027119798,16.383745891965638
