date,start,end,interval,energy_kwh,cost_yuan
2025-02-01,2025-02-01 07:40:00,2025-02-01 07:50:00,07:40-07:50,8.7991006670301317,38.262889250580535
2025-02-01,2025-02-01 10:40:00,2025-02-01 10:50:00,10:40-10:50,12.946544365791738,44.775623689090722
2025-02-01,2025-02-01 11:00:00,2025-02-01 11:20:00,11:00-11:20,23.68849301961734,42.670352048945276
2025-02-01,2025-02-01 21:10:00,2025-02-01 21:20:00,21:10-21:20,21.993059963284281,89.390792220768958
2025-02-01,2025-02-01 23:40:00,2025-02-01 23:50:00,23:40-23:50,7.6965249569693697,13.822958822716988
2025-02-02,2025-02-02 02:50:00,2025-02-02 03:00:00,02:50-03:00,18.256681366534394,44.929692843041153
2025-02-02,2025-02-02 06:30:00,2025-02-02 06:40:00,06:30-06:40,0.50951323782453528,2.7383788966879647
2025-02-02,2025-02-02 08:10:00,2025-02-02 08:20:00,08:10-08:20,9.0215940238872463,60.566471479367024
2025-02-02,2025-02-02 17:10:00,2025-02-02 17:20:00,17:10-17:20,21.842428247392149,118.13477317602045
2025-02-02,2025-02-02 18:10:00,2025-02-02 18:50:00,18:10-18:50,46.775705862983273,295.18528196799366
2025-02-03,2025-02-03 02:00:00,2025-02-03 02:10:00,02:00-02:10,19.919559113905279,44.191541894198856
2025-02-03,2025-02-03 03:10:00,2025-02-03 03:20:00,03:10-03:20,7.3275884804196494,16.721556912317642
2025-02-03,2025-02-03 04:00:00,2025-02-03 04:20:00,04:00-04:20,12.832452203088678,32.424725978588491
2025-02-03,2025-02-03 06:20:00,2025-02-03 06:40:00,06:20-06:40,46.5407997386543,251.41689201636399
2025-02-03,2025-02-03 17:00:00,2025-02-03 17:20:00,17:00-17:20,53.759610441821451,297.81954104524391
2025-02-03,2025-02-03 18:20:00,2025-02-03 18:30:00,18:20-18:30,11.10650905017269,72.208968589697747
2025-02-04,2025-02-04 19:50:00,2025-02-04 20:00:00,19:50-20:00,17.469922239505422,117.80842062210482
2025-02-04,2025-02-04 22:10:00,2025-02-04 22:30:00,22:10-22:30,77.148968179818667,172.39967749437287
2025-02-05,2025-02-05 00:00:00,2025-02-05 00:20:00,00:00-00:20,78.86927085567504,174.42481255602544
2025-02-05,2025-02-05 01:00:00,2025-02-05 01:10:00,01:00-01:10,7.6944184541050618,18.693589634248248
2025-02-05,2025-02-05 01:40:00,2025-02-05 01:50:00,01:40-01:50,2.3407283396188632,5.8962946874999167
2025-02-05,2025-02-05 02:20:00,2025-02-05 02:30:00,02:20-02:30,12.383037733646347,31.031892560517743
2025-02-05,2025-02-05 04:00:00,2025-02-05 04:10:00,04:00-04:10,24.917220310831453,61.146858642780394
2025-02-05,2025-02-05 06:30:00,2025-02-05 06:40:00,06:30-06:40,7.7680487256238848,41.473612146105921
2025-02-05,2025-02-05 07:10:00,2025-02-05 07:20:00,07:10-07:20,30.38499806846346,158.71603741061887
2025-02-05,2025-02-05 07:50:00,2025-02-05 08:00:00,07:50-08:00,24.620915974631089,170.47522220834566
2025-02-05,2025-02-05 10:50:00,2025-02-05 11:10:00,10:50-11:10,56.445056029921943,201.3589673265667
2025-02-05,2025-02-05 11:30:00,2025-02-05 11:50:00,11:30-11:50,68.228212382879292,246.13052778670345
2025-02-05,2025-02-05 17:20:00,2025-02-05 17:30:00,17:20-17:30,8.2767623210108923,44.789699300150446
2025-02-05,2025-02-05 18:30:00,2025-02-05 19:00:00,18:30-19:00,35.040671747236928,220.24748013527426
2025-02-05,2025-02-05 19:50:00,2025-02-05 20:00:00,19:50-20:00,9.2332528895193491,59.596030775402632
