date,slot,timestamp,g0,grid,planned_cost,adjustment_cost,emergency_cost,total_cost
2025-03-20,60,2025-03-20 10:10:00,0,0,0,0,590.34233414229232,590.34233414229232
2025-03-20,72,2025-03-20 12:10:00,628.59853901033136,628.59853901033136,284.06367977876874,0,0,284.06367977876874
2025-03-20,84,2025-03-20 14:10:00,0,0,0,0,0,0
2025-03-20,96,2025-03-20 16:10:00,678.8032140374487,678.8032140374487,595.10677774663134,0,0,595.10677774663134
2025-03-20,108,2025-03-20 18:10:00,710.55576220277726,710.55576220277726,923.22510183006841,0,0,923.22510183006841
2025-03-20,120,2025-03-20 20:10:00,248.72932420940668,248.72932420940668,318.09993273141021,0,169.85046404736934,487.95039677877958
2025-06-21,60,2025-06-21 10:10:00,0,0,0,0,0,0
2025-06-21,72,2025-06-21 12:10:00,0,0,0,0,0,0
2025-06-21,84,2025-06-21 14:10:00,0,0,0,0,0,0
2025-06-21,96,2025-06-21 16:10:00,211.82673360094145,211.82673360094145,121.67327578038078,0,0,121.67327578038078
2025-06-21,108,2025-06-21 18:10:00,0,0,0,0,0,0
2025-06-21,120,2025-06-21 20:10:00,0,0,0,0,0,0
2025-09-23,60,2025-09-23 10:10:00,0,0,0,0,0,0
2025-09-23,72,2025-09-23 12:10:00,484.67302881795598,484.67302881795598,168.7146813315305,0,0,168.7146813315305
2025-09-23,84,2025-09-23 14:10:00,0,0,0,0,0,0
2025-09-23,96,2025-09-23 16:10:00,642.63849836191935,642.63849836191935,599.26039972248975,0,0,599.26039972248975
2025-09-23,108,2025-09-23 18:10:00,806.14417004314316,806.14417004314316,1069.9951568982638,0,0,1069.9951568982638
2025-09-23,120,2025-09-23 20:10:00,0,0,0,0,147.71225136506789,147.71225136506789
2025-12-21,60,2025-12-21 10:10:00,0,0,0,0,0,0
2025-12-21,72,2025-12-21 12:10:00,1055.5968875973824,1055.5968875973824,732.16200123754447,0,0,732.16200123754447
2025-12-21,84,2025-12-21 14:10:00,0,0,0,0,0,0
2025-12-21,96,2025-12-21 16:10:00,882.01322376950657,882.01322376950657,864.37295929411641,0,0,864.37295929411641
2025-12-21,108,2025-12-21 18:10:00,719.96674143710527,719.96674143710527,932.86090688005731,0,0,932.86090688005731
2025-12-21,120,2025-12-21 20:10:00,0,0,0,0,4.8065579412028443,4.8065579412028443
