date,start,end,interval,energy_kwh,cost_yuan
2025-03-20,2025-03-20 00:20:00,2025-03-20 00:30:00,00:20-00:30,29.072946528454622,62.666736242083935
2025-03-20,2025-03-20 01:00:00,2025-03-20 01:30:00,01:00-01:30,71.554150115724724,173.30572038729844
2025-03-20,2025-03-20 03:10:00,2025-03-20 04:00:00,03:10-04:00,64.53610368894158,147.18441589643598
2025-03-20,2025-03-20 04:50:00,2025-03-20 05:20:00,04:50-05:20,16.518927777146246,35.861484089014994
2025-03-20,2025-03-20 05:50:00,2025-03-20 06:00:00,05:50-06:00,1.1487205235545159,5.8498592662013724
2025-03-20,2025-03-20 08:10:00,2025-03-20 08:30:00,08:10-08:30,31.026637275921871,182.18480747132065
2025-03-20,2025-03-20 08:50:00,2025-03-20 09:00:00,08:50-09:00,9.6794317353138979,51.688165466576216
2025-03-20,2025-03-20 09:40:00,2025-03-20 10:00:00,09:40-10:00,33.825616127690559,170.60232425660365
2025-03-20,2025-03-20 11:00:00,2025-03-20 12:00:00,11:00-12:00,258.96641465651817,704.9443425110311
2025-03-20,2025-03-20 12:30:00,2025-03-20 12:50:00,12:30-12:50,91.422793433200368,287.0731057524244
2025-03-20,2025-03-20 13:10:00,2025-03-20 13:40:00,13:10-13:40,48.126229505509123,225.0058591548179
2025-03-20,2025-03-20 14:00:00,2025-03-20 14:20:00,14:00-14:20,29.760115546560272,143.22415678558951
2025-03-20,2025-03-20 15:50:00,2025-03-20 16:10:00,15:50-16:10,25.409755975803989,114.3059755354722
2025-03-20,2025-03-20 18:10:00,2025-03-20 18:20:00,18:10-18:20,3.2495857833241644,20.733982090499829
2025-03-20,2025-03-20 18:40:00,2025-03-20 19:10:00,18:40-19:10,53.367324836782586,340.48540219728454
2025-03-20,2025-03-20 20:00:00,2025-03-20 20:20:00,20:00-20:20,53.118612310957474,339.56635686272074
2025-03-20,2025-03-20 21:10:00,2025-03-20 21:30:00,21:10-21:30,8.377898262909298,41.745767816916818
2025-03-20,2025-03-20 23:00:00,2025-03-20 23:10:00,23:00-23:10,1.1728791134182757,2.5785747308500793
2025-03-20,2025-03-20 23:30:00,2025-03-20 23:40:00,23:30-23:40,13.777335388120605,29.263060364368165
2025-06-21,2025-06-21 01:20:00,2025-06-21 01:30:00,01:20-01:30,10.507450461130702,22.349347130824999
2025-06-21,2025-06-21 02:20:00,2025-06-21 02:30:00,02:20-02:30,3.937726571256007,7.7120374898048913
2025-06-21,2025-06-21 03:00:00,2025-06-21 03:30:00,03:00-03:30,46.874768609292289,94.124829098652
2025-06-21,2025-06-21 04:00:00,2025-06-21 04:10:00,04:00-04:10,15.579911672165792,28.885156240195386
2025-09-23,2025-09-23 02:10:00,2025-09-23 02:20:00,02:10-02:20,5.6895018447224857,13.299210562038812
2025-09-23,2025-09-23 05:00:00,2025-09-23 05:10:00,05:00-05:10,5.0551627033391924,10.944427252729351
2025-09-23,2025-09-23 08:30:00,2025-09-23 08:50:00,08:30-08:50,55.083154288931354,298.2758635886774
2025-09-23,2025-09-23 14:30:00,2025-09-23 14:40:00,14:30-14:40,11.439553971062963,62.860349070990985
2025-09-23,2025-09-23 16:00:00,2025-09-23 16:10:00,16:00-16:10,24.504495299485711,114.25220933385212
2025-09-23,2025-09-23 20:00:00,2025-09-23 20:30:00,20:00-20:30,60.755562953730418,400.07155982162914
2025-09-23,2025-09-23 20:50:00,2025-09-23 21:00:00,20:50-21:00,61.530785484009698,304.08514186197596
2025-09-23,2025-09-23 21:20:00,2025-09-23 21:30:00,21:20-21:30,7.7710667043819521,39.084579989689026
2025-09-23,2025-09-23 21:50:00,2025-09-23 22:00:00,21:50-22:00,9.1949800759575719,23.695463655742667
2025-09-23,2025-09-23 22:20:00,2025-09-23 22:30:00,22:20-22:30,37.685009750405584,91.178881091106334
2025-12-21,2025-12-21 01:10:00,2025-12-21 01:20:00,01:10-01:20,7.7010924342846465,17.196539405757616
2025-12-21,2025-12-21 03:00:00,2025-12-21 03:10:00,03:00-03:10,21.49789876165994,55.324842463131858
2025-12-21,2025-12-21 03:30:00,2025-12-21 03:50:00,03:30-03:50,116.00418527291116,293.27270075387685
2025-12-21,2025-12-21 07:50:00,2025-12-21 08:00:00,07:50-08:00,1.7642873085658266,12.40558621018061
2025-12-21,2025-12-21 08:20:00,2025-12-21 08:30:00,08:20-08:30,0.79284526155345236,5.4476397921337725
2025-12-21,2025-12-21 09:40:00,2025-12-21 09:50:00,09:40-09:50,15.11746155145198,96.918046006358637
2025-12-21,2025-12-21 11:00:00,2025-12-21 11:40:00,11:00-11:40,214.90913674744388,812.38955928242854
2025-12-21,2025-12-21 12:50:00,2025-12-21 13:10:00,12:50-13:10,9.4603346566292448,52.603023511322938
2025-12-21,2025-12-21 18:10:00,2025-12-21 19:00:00,18:10-19:00,77.974008893349122,504.25410054961947
2025-12-21,2025-12-21 19:20:00,2025-12-21 19:30:00,19:20-19:30,5.5714843376546241,41.359913980579101
2025-12-21,2025-12-21 19:40:00,2025-12-21 20:00:00,19:40-20:00,56.545831363125785,434.85279933973777
2025-12-21,2025-12-21 22:50:00,2025-12-21 23:00:00,22:50-23:00,3.9156433958551138,9.2761592047807628
2025-12-21,2025-12-21 23:30:00,2025-12-21 23:40:00,23:30-23:40,21.05321786514844,45.622323113776666
