id,question,parameter,value,date,role,status,started_at,total_cost,planned_cost,adjustment_cost,emergency_kwh,emergency_cost,min_soc,final_soc,charge_kwh,discharge_kwh,throughput_kwh,seconds,reliable,max_gap,nodes,certified_nodes,history_sha256,physical_verified,delta_cost_pct,delta_emergency_kwh,delta_emergency_pct,emergency_pct_defined,status_label,signature,dispatch_sha256,audit_sha256,optional,soc_upper_fraction,soc_lower_fraction
q2_beta_R_0.8_2025-09-17,q2,beta_R,0.80000000000000004,2025-09-17,常规日,complete,1789277035.741312,42910.01969516369,42865.838537307274,0,20.285196444634835,44.181157856414671,1972.198493414958,8805.6530772433998,18813.825009773456,14824.920827871978,33638.745837645431,31.891091333003715,True,0.027206366929640412,1,1,8a28e2bf4029ca3bbf39f2712ea0c29a5bc55c9e3ca1e9a480d212bba21c6bb2,True,-1.4064305235559051,6.3127456221101284,45.179945181367025,True,完成 / 已认证,e7283dab3ef5529d0191c80fbe606b74db89258aca055d040d98271492effc29,ab62801b6d0bc78ccefe3cc90ff9bf2c688333ac2fe10905c8c28e7eee042b3b,2f0881ae69ae88d52ba01b3e94b4c8028fb4a39cf0ef404a739d681841766173,,0.21527777777777779,0
baseline_q2_beta_R_0.8_2025-09-17,q2,beta_R,1,2025-09-17,常规日,baseline_reused,,43522.128190536525,43491.69619264506,0,13.972450822524706,30.43199789145881,1968.7327798575295,8799.1571470909166,18115.029592102146,14264.742876695454,32379.772468797601,21.420157100001234,True,,1,1,,True,0,0,0,True,,,,,,0.21527777777777779,0
q2_beta_R_1.2_2025-09-17,q2,beta_R,1.2,2025-09-17,常规日,complete,1789277172.379494,43355.90532644499,43311.724168588575,0,20.285196444634835,44.181157856414671,2032.6117701939884,8854.820858604362,17605.980974013495,13802.316155681543,31408.297129695038,36.885242208023556,True,0.0281457942479909,1,1,8a28e2bf4029ca3bbf39f2712ea0c29a5bc55c9e3ca1e9a480d212bba21c6bb2,True,-0.38192724253700022,6.3127456221101284,45.179945181367025,True,完成 / 已认证,953898b0525255f3682d6cc16b03b532c23b7876ca9e908b34f0feaaae6e4b73,3c36a83a47224929cdf6daecd5a53693ea24a859c6e08ef3fcc339208d471e88,d8daee96ad1c6480a01bad77ea89621387fab14613d6b0aeee282b811c2bc35b,,0.21527777777777779,0
q2_beta_R_0.8_2025-06-01,q2,beta_R,0.80000000000000004,2025-06-01,高预测误差日,complete,1789277209.283787,114398.94336305208,35560.122332908999,0,13899.003053964956,78838.821030143095,1288.9616991864223,6948.1858842795646,9722.6507869552843,10133.840564604121,19856.491351559405,3.7875433340086602,True,0.028779269692022807,1,1,34c2f755dcadec13b09bc85e9547f35df0f3804f0fd13e255f28c4a84b624164,True,6.2617669445302173,1554.0579570580285,12.588617809628037,True,完成 / 已认证,f44c5bac7466cf03bf59726cb17aa1fcb2a74de08727699420b4a930769b88da,328472c82fadbdc75daa35b7a448348963fd0e6c231b830ac8361dd4dccd1e73,641dab2996654dacbc481a911c720e4f79b545e1595d82d46d9d59ba63ddebe3,,0,0
baseline_q2_beta_R_0.8_2025-06-01,q2,beta_R,1,2025-06-01,高预测误差日,baseline_reused,,107657.67091259602,36709.129383448715,0,12344.945096906928,70948.541529147289,1311.2021239830278,7024.9739991844453,10017.705317879805,10303.725431238588,20321.430749118394,5.9021336000005249,True,,1,1,,True,0,0,0,True,,,,,,0,0
q2_beta_R_1.2_2025-06-01,q2,beta_R,1.2,2025-06-01,高预测误差日,complete,1789277213.089793,107803.85013233389,36634.385064429,0,12436.099198329728,71169.465067904879,1333.4425487796334,7033.7640777231627,9968.0615649222491,10255.602920658128,20223.664485580375,4.6318746669858228,True,0.026153690833182142,1,1,34c2f755dcadec13b09bc85e9547f35df0f3804f0fd13e255f28c4a84b624164,True,0.1357815179343288,91.154101422800522,0.73839211683201023,True,完成 / 已认证,a12bb28dc26b7f98d1b383896b127a0c5df104e36ee34d8ed7d5a7b7557f46fd,e1c6806adf9dacfbd896b12238c635d2aa89ae745dc14278c37a045af3d297f3,b9442819652fdf690cbe8e9c35727c5da7919886607c87c87fb873b2759c88eb,,0,0
q2_beta_R_0.8_2025-06-02,q2,beta_R,0.80000000000000004,2025-06-02,高紧急购电日,complete,1789277217.7414629,86782.632872118062,38936.39729928923,0,8721.7809972354407,47846.235572828831,1289.3012981221727,6829.0651600887677,16385.476385175731,13448.553827178443,29834.030212354173,4.0224913750134874,True,0.029833564816476608,1,1,a8e530968eb4d8b1ac3b3715adbd704ccf0ce7b1f24036e4842caf3b8532489e,True,1.6320598243893538,254.77140452629283,3.0089892037641457,True,完成 / 已认证,7603c3d7de8701d32c711ffdf06e716c71cba14fdf1dc769a7413e8ea8c1372a,70fa82eea930412652310c22690caa928c119a0b42e84f6d1e09ee77d83f16dd,12fbe218e65f0faf14b3f1f79a8d9e3731be7bfeea66a4a756d577afcd7f6c52,,0,0
baseline_q2_beta_R_0.8_2025-06-02,q2,beta_R,1,2025-06-02,高紧急购电日,baseline_reused,,85389.032773782499,39174.570811258192,0,8467.0095927091479,46214.461962524299,1311.6266226527159,6870.0629846513502,16325.7574199063,13363.283423203891,29689.04084311019,7.1721613000008801,True,,1,1,,True,0,0,0,True,,,,,,0,0
q2_beta_R_1.2_2025-06-02,q2,beta_R,1.2,2025-06-02,高紧急购电日,complete,1789277221.7799621,84489.498336885619,39372.728350058511,0,8324.3432132212565,45116.769986827101,1333.9519471832591,6858.2132588563018,16040.575970592212,13142.951202475015,29183.527173067225,5.759452375001274,True,0.029849777348676748,1,1,a8e530968eb4d8b1ac3b3715adbd704ccf0ce7b1f24036e4842caf3b8532489e,True,-1.053454299312627,-142.66637948789139,-1.684967731827538,True,完成 / 已认证,99eac6dd2170ed35ee8ad0c6c4e7fefd8bca238a1aaa2e3ff3fe897719d06b1a,de7136d0f8339f39e2c2d4a256a21b2db43ea0196fcce30a99de56ad64acf59d,a8c4834e04c28730c059e8014c3d375aa1b21830ebfe082fd86cb26f980df0b8,,0,0
q2_beta_R_0.8_2025-09-28,q2,beta_R,0.80000000000000004,2025-09-28,高系统压力日,complete,1789277227.5606122,46978.732894799439,46172.292686802422,0,198.85869342886645,806.44020799702184,1754.5396503739128,8516.4543655901034,18165.553138204479,14381.957151945287,32547.510290149767,33.814434542000527,True,0.023047476130383701,1,1,73e6a3bb3c66a2eb5fefae1ca3577557d5cbd74a383ace069a9db0339cf00586,True,-0.83502764516266414,-25.042497290608026,-11.18461997014734,True,完成 / 已认证,2781b6a7a6ad77b7e9f5fd36a24f7a0c14cb911d5754e21691371772499d7dd9,ba310fd1debb0a9767031dda2caf8dc607ce50fd59e9ca4a82b05907f125f36a,1cce3841884efb0df0efe24e3b7bf1a4ef16ed76693c257a4b611a89bc9378f9,,0.22222222222222221,0
