id,question,date,parameter,value,hour,reliable,relative_gap,upper_bound,lower_bound,absolute_model_gap_yuan,status,accepted_by,solver_seconds
q2_beta_R_0.8_2025-09-17,q2,2025-09-17,beta_R,0.80000000000000004,0,True,0.027206366929640412,111816.87132927358,108855.31372191406,2961.5576073595148,Optimal,,24.095045666006627
q2_beta_R_1.2_2025-09-17,q2,2025-09-17,beta_R,1.2,0,True,0.0281457942479909,112162.79478464085,109092.3052082115,3070.4895764293469,Optimal,,28.834294625004986
q2_beta_R_0.8_2025-06-01,q2,2025-06-01,beta_R,0.80000000000000004,0,True,0.028779269692022807,110729.82517346037,107632.24768964158,3097.5774838187936,certified_by_feasible_policy_and_global_lp_lower_bound,,3.7516868749808054
q2_beta_R_1.2_2025-06-01,q2,2025-06-01,beta_R,1.2,0,True,0.026153690833182142,110447.22821939694,107632.24768964158,2814.9805297553685,certified_by_feasible_policy_and_global_lp_lower_bound,,4.587990333995549
q2_beta_R_0.8_2025-06-02,q2,2025-06-02,beta_R,0.80000000000000004,0,True,0.029833564816476608,119523.76061573175,116061.24008691803,3462.5205288137222,certified_by_feasible_policy_and_global_lp_lower_bound,,3.980788584012771
q2_beta_R_1.2_2025-06-02,q2,2025-06-02,beta_R,1.2,0,True,0.029849777348676748,119525.64226232385,116061.24008691803,3464.4021754058194,certified_by_feasible_policy_and_global_lp_lower_bound,,5.7176589999871794
q2_beta_R_0.8_2025-09-28,q2,2025-09-28,beta_R,0.80000000000000004,0,True,0.023047476130383701,149630.28658412077,146259.37708197907,3370.9095021417015,Optimal,,26.041109041980235
q2_beta_R_1.2_2025-09-28,q2,2025-09-28,beta_R,1.2,0,True,0.024175459929278904,150105.57575544622,146562.36321636848,3543.2125390777364,Optimal,,29.184168667008635
q2_rho_tail_0.1_2025-09-17,q2,2025-09-17,rho_tail,0.10000000000000001,0,True,0.023386400769505659,108090.89505902909,105620.80459321453,2470.0904658145591,Optimal,,31.491970875009429
q2_rho_tail_0.3_2025-09-17,q2,2025-09-17,rho_tail,0.29999999999999999,0,True,0.021924209662104364,113802.60728571116,111361.10311286156,2441.5041728495999,Optimal,,22.154327917000046
q2_rho_tail_0.1_2025-06-01,q2,2025-06-01,rho_tail,0.10000000000000001,0,True,0.029546442364032113,110245.78023299138,107081.89130336496,3163.8889296264242,certified_by_feasible_policy_and_global_lp_lower_bound,,3.1432972499751486
q2_rho_tail_0.3_2025-06-01,q2,2025-06-01,rho_tail,0.29999999999999999,0,True,0.021521523496514008,113099.87139090426,110717.07133862482,2382.8000522794318,Optimal,,27.135914125014096
q2_rho_tail_0.1_2025-06-02,q2,2025-06-02,rho_tail,0.10000000000000001,0,True,0.029682634198479531,118723.27480330293,115300.84208491961,3422.4327183833229,certified_by_feasible_policy_and_global_lp_lower_bound,,3.4148573339916766
q2_rho_tail_0.3_2025-06-02,q2,2025-06-02,rho_tail,0.29999999999999999,0,True,0.020357310159255394,121924.72161948337,119492.18220473532,2432.5394147480547,Optimal,,25.738625750003848
q2_rho_tail_0.1_2025-09-28,q2,2025-09-28,rho_tail,0.10000000000000001,0,True,0.020742845486815865,144280.16113361099,141348.19731682807,2931.9638167829253,Optimal,,35.96039187500719
q2_rho_tail_0.3_2025-09-28,q2,2025-09-28,rho_tail,0.29999999999999999,0,True,0.021281585322879923,150724.09835967163,147583.29194001862,3140.8064196530031,Optimal,,30.927964083995903
q3_S_10_2025-03-12,q3,2025-03-12,S,10,0,True,0.023605782423376957,41204.518226144952,40231.853334038504,972.66489210644795,certified_policy_from_LP_bound,certified_3pct,0.41612220800016075
q3_S_10_2025-03-12,q3,2025-03-12,S,10,6,False,0.21915306829820028,-783.09810214625213,-954.71645401010073,171.6183518638486,hard_limit_feasible,hard_limit_feasible,35.047201874986058
q3_S_10_2025-03-12,q3,2025-03-12,S,10,12,True,0.017972189815558738,6251.9534107190466,6139.592117303574,112.36129341547257,certified_policy_from_LP_bound,certified_3pct,0.37284349999390543
q3_S_10_2025-03-12,q3,2025-03-12,S,10,18,True,0.0014939094566565007,23903.88507429928,23868.174834335954,35.710239963325876,certified_policy_from_LP_bound,certified_3pct,0.36707279199617915
q3_S_28_2025-03-12,q3,2025-03-12,S,28,0,False,1.1346920103541842,41398.95715031508,-5576.1087651426742,46975.065915457752,hard_limit_feasible,hard_limit_feasible,8.0721215840021614
q3_S_28_2025-03-12,q3,2025-03-12,S,28,6,False,0.089266118031077396,1470.1628965276668,1338.9271618813175,131.23573464634933,hard_limit_feasible,hard_limit_feasible,35.072369333007373
q3_S_28_2025-03-12,q3,2025-03-12,S,28,12,False,4.4435137662851378,8631.5652456269345,-29722.913747904709,38354.478993531644,hard_limit_feasible,hard_limit_feasible,8.0639708329981659
q3_S_28_2025-03-12,q3,2025-03-12,S,28,18,False,2.2969699590802666,26286.45416652508,-34092.741384723333,60379.195551248413,hard_limit_feasible,hard_limit_feasible,8.0731271250115242
q3_S_10_2025-08-25,q3,2025-08-25,S,10,0,True,0.029545703293784052,57822.503045393009,56114.096526709902,1708.4065186831067,Interrupted by user,certified_3pct,2.2936916659818962
q3_S_10_2025-08-25,q3,2025-08-25,S,10,6,False,0.12610564093688767,985.28235223413685,861.03268970184672,124.24966253229013,hard_limit_feasible,hard_limit_feasible,35.044340124994051
q3_S_10_2025-08-25,q3,2025-08-25,S,10,12,False,0.041006321449849559,3806.3398385529067,3650.2558435858377,156.08399496706897,hard_limit_feasible,hard_limit_feasible,8.0464734159759246
q3_S_10_2025-08-25,q3,2025-08-25,S,10,18,True,2.4356033150313669e-05,10043.562417529691,10043.317796190502,0.24462133918859763,certified_policy_from_LP_bound,certified_3pct,0.24540433299262077
q3_S_28_2025-08-25,q3,2025-08-25,S,28,0,False,1.1116337147861661,56646.502577230087,-6323.6595123403285,62970.162089570418,hard_limit_feasible,hard_limit_feasible,8.0831757910200395
q3_S_28_2025-08-25,q3,2025-08-25,S,28,6,True,0.0046562616179026944,2708.0469732723086,2695.4375980911832,12.609375181125415,Interrupted by user,certified_3pct,24.063581166992662
q3_S_28_2025-08-25,q3,2025-08-25,S,28,12,True,0.029461226658505858,6306.1109403855471,6120.325176637165,185.78576374838212,Interrupted by user,certified_3pct,7.7853033340070397
q3_S_28_2025-08-25,q3,2025-08-25,S,28,18,True,0.01329524861070243,13402.030536392434,13223.847208522871,178.18332786956307,certified_policy_from_LP_bound,certified_3pct,1.7098890829947777
q3_S_10_2025-07-01,q3,2025-07-01,S,10,0,True,0.027323601158290252,39411.655387920997,38334.787035113462,1076.8683528075344,certified_policy_from_LP_bound,certified_3pct,0.3078027080046013
q3_S_10_2025-07-01,q3,2025-07-01,S,10,6,False,0.10823365635393641,11091.821287262115,9891.3129137173109,1200.5083735448043,hard_limit_feasible,hard_limit_feasible,35.083664707985008
q3_S_10_2025-07-01,q3,2025-07-01,S,10,12,False,0.057595663577902904,10387.442143071918,9789.1705199646167,598.27162310730091,hard_limit_feasible,hard_limit_feasible,8.0349315829807892
q3_S_10_2025-07-01,q3,2025-07-01,S,10,18,False,0.04351353851321086,14250.140650989808,13630.066606954291,620.07404403551664,hard_limit_feasible,hard_limit_feasible,8.0322138330084272
q3_S_28_2025-07-01,q3,2025-07-01,S,28,0,True,0.029358760962013224,39698.141963153597,38532.653702621305,1165.4882605322928,certified_policy_from_LP_bound,certified_3pct,2.1787613749911543
q3_S_28_2025-07-01,q3,2025-07-01,S,28,6,False,0.087262673728736764,11468.880854330417,10468.075646305226,1000.805208025191,hard_limit_feasible,hard_limit_feasible,35.069019249989651
q3_S_28_2025-07-01,q3,2025-07-01,S,28,12,False,0.078744355806380381,10870.783750466922,10014.770886925937,856.01286354098556,hard_limit_feasible,hard_limit_feasible,8.0724124169792049
q3_S_28_2025-07-01,q3,2025-07-01,S,28,18,False,0.052279877623500934,15175.116853398004,14381.763601380029,793.35325201797423,hard_limit_feasible,hard_limit_feasible,8.0985444579855539
q3_S_10_2025-07-02,q3,2025-07-02,S,10,0,True,0.026965441851156773,43013.577606396713,41853.697480641204,1159.8801257555097,Interrupted by user,certified_3pct,1.9784611669892911
q3_S_10_2025-07-02,q3,2025-07-02,S,10,6,False,0.096217034266653415,10593.210942485517,9573.9636022385002,1019.2473402470168,hard_limit_feasible,hard_limit_feasible,35.065794166992418
q3_S_10_2025-07-02,q3,2025-07-02,S,10,12,False,0.044339408543786221,10925.338096718695,10440.915067369293,484.42302934940199,hard_limit_feasible,hard_limit_feasible,8.1329752909950912
q3_S_10_2025-07-02,q3,2025-07-02,S,10,18,True,0.02985817752449162,20921.201198709012,20296.532259292351,624.66893941666058,Interrupted by user,certified_3pct,2.9608855829865206
q3_S_28_2025-07-02,q3,2025-07-02,S,28,0,False,0.031202991530345031,43030.492800631808,41687.812698227121,1342.6801024046872,hard_limit_feasible,hard_limit_feasible,8.0619163329829462
q3_S_28_2025-07-02,q3,2025-07-02,S,28,6,False,0.12456860511907893,7776.4563569277616,6807.7540357758762,968.70232115188537,hard_limit_feasible,hard_limit_feasible,35.085936040995875
q3_S_28_2025-07-02,q3,2025-07-02,S,28,12,False,0.11415020733380105,10269.687751608608,9097.4007655090882,1172.2869860995197,hard_limit_feasible,hard_limit_feasible,8.1513633340073284
q3_S_28_2025-07-02,q3,2025-07-02,S,28,18,False,0.033649349113060632,22841.110403890038,22072.52190577958,768.58849811045729,hard_limit_feasible,hard_limit_feasible,8.1608468749909662
q3_lambda_E_0.8_2025-03-12,q3,2025-03-12,lambda_E,0.80000000000000004,0,True,0.02370626146464604,41512.005513909397,40527.911057274832,984.09445663456427,certified_policy_from_LP_bound,certified_3pct,1.5599794999870937
q3_lambda_E_0.8_2025-03-12,q3,2025-03-12,lambda_E,0.80000000000000004,6,True,0.024352622284853975,4896.3080110410638,4777.0700714578761,119.23793958318765,Interrupted by user,certified_3pct,3.2632241669925861
q3_lambda_E_0.8_2025-03-12,q3,2025-03-12,lambda_E,0.80000000000000004,12,True,0.013013078453857772,11006.147399682086,10862.9235400953,143.22385958678569,certified_policy_from_LP_bound,certified_3pct,1.0231630830094218
q3_lambda_E_0.8_2025-03-12,q3,2025-03-12,lambda_E,0.80000000000000004,18,True,0.0031086339298575655,29628.430542344737,29536.326597872376,92.103944472361036,certified_policy_from_LP_bound,certified_3pct,0.95583241697750054
q3_lambda_E_1.2_2025-03-12,q3,2025-03-12,lambda_E,1.2,0,True,0.024085208293017139,40283.361800576407,39313.128640866555,970.23315970985277,certified_policy_from_LP_bound,certified_3pct,1.1848601249803323
q3_lambda_E_1.2_2025-03-12,q3,2025-03-12,lambda_E,1.2,6,False,0.039743577915755654,-2848.6036857945301,-2961.8173883320137,113.21370253748364,hard_limit_feasible,hard_limit_feasible,35.066738291992806
